# experiment P-144 (R-144)
# hypothesis: P-142 closes gyroid; fbm_terrain remains open, and the question is whether it can be closed at all rather than whether some formula applies. A periodic lattice-noise field with a fixed seed is a deterministic function with a definite chi, so the question is empirical: does it converge with resolution, and is it stable enough to gate on? (C1) With periodic wrap and a fixed seed, measured chi converges as resolution increases and is stable to at least 65^3. (C2) chi varies across seeds, so the gate must be per-seed rather than per-field -- stated in advance so nobody writes a single constant into the suite. SHARE: none.
# falsified by: C1 by chi still moving at the highest tested resolution, which would say the field is not resolved and no oracle is available at game resolutions -- the likely outcome and worth recording. C2 by seed-independent chi, which would be surprising and would make the gate much cheaper. VACUITY CONTROL: at least three seeds must be run, or C2 cannot fire.
# commit ad28433 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:29:17Z
field,octaves,period,wrap_mode,chi_measured,chi_variance_across_seeds,chi_stable,oracle_exists,resolution_convergence,c1_holds,c2_holds,boundary_edges,cell_size,cells_per_axis,chi_delta_from_top,chi_span_across_seeds,chi_top_rung,edges,extract_ms,faces,finest_lattice_cells_per_axis,identified_pairs,iso,max_periodicity_residual,min_seed_separation,non_manifold_edges,samples_per_axis,seed,triangles,vertices,voxels_per_finest_lattice_cell
periodic_value_noise,1,4,none,-2,20.160000,false,false,33,false,true,300,0.250000000,16,2,12,-4,4608,1.135,2972,4,0,0.000,1.332e-15,1.064370,0,17,0x5eed000000000001,2972,1634,4.000
periodic_value_noise,1,4,none,-4,20.160000,true,false,33,false,true,608,0.125000000,32,0,12,-4,18187,5.536,11922,4,0,0.000,1.332e-15,1.064370,0,33,0x5eed000000000001,11924,6261,8.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,33,false,true,896,0.083333333,48,0,10,-4,40600,14.926,26768,4,0,0.000,1.332e-15,1.064370,0,49,0x5eed000000000001,26768,13828,12.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,33,false,true,1208,0.062500000,64,0,10,-4,71905,30.948,47534,4,0,0.000,1.332e-15,1.064370,0,65,0x5eed000000000001,47540,24367,16.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,33,false,true,1504,0.050000000,80,0,10,-4,112061,56.231,74206,4,0,0.000,1.332e-15,1.064370,0,81,0x5eed000000000001,74220,37851,20.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,33,false,true,1804,0.041666667,96,0,10,-4,161279,89.549,106918,4,0,0.000,1.332e-15,1.064370,0,97,0x5eed000000000001,106928,54357,24.000
periodic_value_noise,1,4,none,-4,13.760000,false,false,33,false,true,2408,0.031250000,128,0,10,-4,286171,200.116,189978,4,0,0.000,1.332e-15,1.064370,0,129,0x5eed000000000001,189988,96189,32.000
periodic_value_noise,1,4,none,-4,20.160000,true,false,17,false,true,316,0.250000000,16,0,12,-4,4448,1.022,2860,4,0,0.000,1.332e-15,1.064370,0,17,0x5eed000000000002,2860,1584,4.000
periodic_value_noise,1,4,none,-4,20.160000,true,false,17,false,true,640,0.125000000,32,0,12,-4,17552,5.059,11488,4,0,0.000,1.332e-15,1.064370,0,33,0x5eed000000000002,11488,6060,8.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,17,false,true,952,0.083333333,48,0,10,-4,39230,13.972,25836,4,0,0.000,1.332e-15,1.064370,0,49,0x5eed000000000002,25836,13390,12.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,17,false,true,1284,0.062500000,64,0,10,-4,69756,29.429,46076,4,0,0.000,1.332e-15,1.064370,0,65,0x5eed000000000002,46076,23676,16.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,17,false,true,1600,0.050000000,80,0,10,-4,108740,53.221,71960,4,0,0.000,1.332e-15,1.064370,0,81,0x5eed000000000002,71964,36776,20.000
periodic_value_noise,1,4,none,-4,13.760000,true,false,17,false,true,1916,0.041666667,96,0,10,-4,156259,87.443,103534,4,0,0.000,1.332e-15,1.064370,0,97,0x5eed000000000002,103540,52721,24.000
periodic_value_noise,1,4,none,-4,13.760000,false,false,17,false,true,2572,0.031250000,128,0,10,-4,277526,195.380,184160,4,0,0.000,1.332e-15,1.064370,0,129,0x5eed000000000002,184168,93362,32.000
periodic_value_noise,1,4,none,-2,20.160000,true,false,17,false,true,396,0.250000000,16,0,12,-2,4605,1.057,2938,4,0,0.000,1.332e-15,1.064370,0,17,0x0badc0ffee0dd00d,2940,1665,4.000
periodic_value_noise,1,4,none,-2,20.160000,true,false,17,false,true,780,0.125000000,32,0,12,-2,17895,5.131,11670,4,0,0.000,1.332e-15,1.064370,0,33,0x0badc0ffee0dd00d,11672,6223,8.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,17,false,true,1176,0.083333333,48,0,10,-2,40071,14.301,26322,4,0,0.000,1.332e-15,1.064370,0,49,0x0badc0ffee0dd00d,26324,13747,12.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,17,false,true,1560,0.062500000,64,0,10,-2,70875,29.575,46730,4,0,0.000,1.332e-15,1.064370,0,65,0x0badc0ffee0dd00d,46732,24143,16.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,17,false,true,1960,0.050000000,80,0,10,-2,110678,53.586,73132,4,0,0.000,1.332e-15,1.064370,0,81,0x0badc0ffee0dd00d,73132,37544,20.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,17,false,true,2340,0.041666667,96,0,10,-2,159039,87.866,105246,4,0,0.000,1.332e-15,1.064370,0,97,0x0badc0ffee0dd00d,105256,53791,24.000
periodic_value_noise,1,4,none,-2,13.760000,false,false,17,false,true,3128,0.031250000,128,0,10,-2,282265,195.832,187134,4,0,0.000,1.332e-15,1.064370,0,129,0x0badc0ffee0dd00d,187136,95129,32.000
periodic_value_noise,1,4,none,-14,20.160000,false,false,49,false,true,388,0.250000000,16,-2,12,-12,5498,1.169,3536,4,0,0.000,1.332e-15,1.064370,0,17,0x123456789abcdef0,3536,1948,4.000
periodic_value_noise,1,4,none,-14,20.160000,false,false,49,false,true,772,0.125000000,32,-2,12,-12,21656,5.632,14180,4,0,0.000,1.332e-15,1.064370,0,33,0x123456789abcdef0,14180,7462,8.000
periodic_value_noise,1,4,none,-12,13.760000,true,false,49,false,true,1156,0.083333333,48,0,10,-12,48530,15.433,31968,4,0,0.000,1.332e-15,1.064370,0,49,0x123456789abcdef0,31968,16550,12.000
periodic_value_noise,1,4,none,-12,13.760000,true,false,49,false,true,1540,0.062500000,64,0,10,-12,85718,31.754,56632,4,0,0.000,1.332e-15,1.064370,0,65,0x123456789abcdef0,56636,29074,16.000
periodic_value_noise,1,4,none,-12,13.760000,true,false,49,false,true,1920,0.050000000,80,0,10,-12,133650,56.776,88460,4,0,0.000,1.332e-15,1.064370,0,81,0x123456789abcdef0,88468,45178,20.000
periodic_value_noise,1,4,none,-12,13.760000,true,false,49,false,true,2306,0.041666667,96,0,10,-12,192325,92.651,127448,4,0,0.000,1.332e-15,1.064370,0,97,0x123456789abcdef0,127452,64865,24.000
periodic_value_noise,1,4,none,-12,13.760000,false,false,49,false,true,3076,0.031250000,128,0,10,-12,341096,206.456,226372,4,0,0.000,1.332e-15,1.064370,0,129,0x123456789abcdef0,226384,114712,32.000
periodic_value_noise,1,4,none,-4,20.160000,false,false,33,false,true,304,0.250000000,16,-2,12,-2,4460,1.023,2872,4,0,0.000,1.332e-15,1.064370,0,17,0xf00dfacecafeb0ba,2872,1584,4.000
periodic_value_noise,1,4,none,-2,20.160000,true,false,33,false,true,604,0.125000000,32,0,12,-2,17354,5.126,11368,4,0,0.000,1.332e-15,1.064370,0,33,0xf00dfacecafeb0ba,11368,5984,8.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,33,false,true,900,0.083333333,48,0,10,-2,38649,13.843,25466,4,0,0.000,1.332e-15,1.064370,0,49,0xf00dfacecafeb0ba,25468,13181,12.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,33,false,true,1200,0.062500000,64,0,10,-2,68406,29.205,45204,4,0,0.000,1.332e-15,1.064370,0,65,0xf00dfacecafeb0ba,45208,23200,16.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,33,false,true,1504,0.050000000,80,0,10,-2,106862,53.394,70740,4,0,0.000,1.332e-15,1.064370,0,81,0xf00dfacecafeb0ba,70744,36120,20.000
periodic_value_noise,1,4,none,-2,13.760000,true,false,33,false,true,1792,0.041666667,96,0,10,-2,153617,87.398,101814,4,0,0.000,1.332e-15,1.064370,0,97,0xf00dfacecafeb0ba,101820,51801,24.000
periodic_value_noise,1,4,none,-2,13.760000,false,false,33,false,true,2392,0.031250000,128,0,10,-2,272504,194.755,180872,4,0,0.000,1.332e-15,1.064370,0,129,0xf00dfacecafeb0ba,180876,91630,32.000
periodic_value_noise,1,4,periodic,-10,13.760000,false,true,33,false,true,0,0.250000000,16,2,10,-12,4458,1.135,2972,4,158,0.000,1.332e-15,1.064370,0,17,0x5eed000000000001,2972,1476,4.000
periodic_value_noise,1,4,periodic,-12,15.360000,true,true,33,false,true,0,0.125000000,32,0,10,-12,17883,5.536,11922,4,313,0.000,1.332e-15,1.064370,0,33,0x5eed000000000001,11922,5949,8.000
periodic_value_noise,1,4,periodic,-12,10.240000,true,true,33,false,true,0,0.083333333,48,0,8,-12,40152,14.926,26768,4,456,0.000,1.332e-15,1.064370,0,49,0x5eed000000000001,26768,13372,12.000
periodic_value_noise,1,4,periodic,-12,10.240000,true,true,33,false,true,0,0.062500000,64,0,8,-12,71301,30.948,47534,4,615,0.000,1.332e-15,1.064370,0,65,0x5eed000000000001,47534,23755,16.000
periodic_value_noise,1,4,periodic,-12,10.240000,true,true,33,false,true,0,0.050000000,80,0,8,-12,111309,56.231,74206,4,767,0.000,1.332e-15,1.064370,0,81,0x5eed000000000001,74206,37091,20.000
periodic_value_noise,1,4,periodic,-12,10.240000,true,true,33,false,true,0,0.041666667,96,0,8,-12,160377,89.549,106918,4,915,0.000,1.332e-15,1.064370,0,97,0x5eed000000000001,106918,53447,24.000
periodic_value_noise,1,4,periodic,-12,10.240000,false,true,33,false,true,0,0.031250000,128,0,8,-12,284967,200.116,189978,4,1217,0.000,1.332e-15,1.064370,0,129,0x5eed000000000001,189978,94977,32.000
periodic_value_noise,1,4,periodic,-8,13.760000,true,true,17,false,true,0,0.250000000,16,0,10,-8,4290,1.022,2860,4,162,0.000,1.332e-15,1.064370,0,17,0x5eed000000000002,2860,1422,4.000
periodic_value_noise,1,4,periodic,-8,15.360000,true,true,17,false,true,0,0.125000000,32,0,10,-8,17232,5.059,11488,4,324,0.000,1.332e-15,1.064370,0,33,0x5eed000000000002,11488,5736,8.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.083333333,48,0,8,-8,38754,13.972,25836,4,480,0.000,1.332e-15,1.064370,0,49,0x5eed000000000002,25836,12910,12.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.062500000,64,0,8,-8,69114,29.429,46076,4,646,0.000,1.332e-15,1.064370,0,65,0x5eed000000000002,46076,23030,16.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.050000000,80,0,8,-8,107940,53.221,71960,4,806,0.000,1.332e-15,1.064370,0,81,0x5eed000000000002,71960,35972,20.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.041666667,96,0,8,-8,155301,87.443,103534,4,965,0.000,1.332e-15,1.064370,0,97,0x5eed000000000002,103534,51759,24.000
periodic_value_noise,1,4,periodic,-8,10.240000,false,true,17,false,true,0,0.031250000,128,0,8,-8,276240,195.380,184160,4,1294,0.000,1.332e-15,1.064370,0,129,0x5eed000000000002,184160,92072,32.000
periodic_value_noise,1,4,periodic,-8,13.760000,true,true,17,false,true,0,0.250000000,16,0,10,-8,4407,1.057,2938,4,205,0.000,1.332e-15,1.064370,0,17,0x0badc0ffee0dd00d,2938,1461,4.000
periodic_value_noise,1,4,periodic,-8,15.360000,true,true,17,false,true,0,0.125000000,32,0,10,-8,17505,5.131,11670,4,397,0.000,1.332e-15,1.064370,0,33,0x0badc0ffee0dd00d,11670,5827,8.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.083333333,48,0,8,-8,39483,14.301,26322,4,595,0.000,1.332e-15,1.064370,0,49,0x0badc0ffee0dd00d,26322,13153,12.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.062500000,64,0,8,-8,70095,29.575,46730,4,787,0.000,1.332e-15,1.064370,0,65,0x0badc0ffee0dd00d,46730,23357,16.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.050000000,80,0,8,-8,109698,53.586,73132,4,986,0.000,1.332e-15,1.064370,0,81,0x0badc0ffee0dd00d,73132,36558,20.000
periodic_value_noise,1,4,periodic,-8,10.240000,true,true,17,false,true,0,0.041666667,96,0,8,-8,157869,87.866,105246,4,1181,0.000,1.332e-15,1.064370,0,97,0x0badc0ffee0dd00d,105246,52615,24.000
periodic_value_noise,1,4,periodic,-8,10.240000,false,true,17,false,true,0,0.031250000,128,0,8,-8,280701,195.832,187134,4,1571,0.000,1.332e-15,1.064370,0,129,0x0badc0ffee0dd00d,187134,93559,32.000
periodic_value_noise,1,4,periodic,-18,13.760000,false,true,49,false,true,0,0.250000000,16,-2,10,-16,5304,1.169,3536,4,198,0.000,1.332e-15,1.064370,0,17,0x123456789abcdef0,3536,1750,4.000
periodic_value_noise,1,4,periodic,-18,15.360000,false,true,49,false,true,0,0.125000000,32,-2,10,-16,21270,5.632,14180,4,390,0.000,1.332e-15,1.064370,0,33,0x123456789abcdef0,14180,7072,8.000
periodic_value_noise,1,4,periodic,-16,10.240000,true,true,49,false,true,0,0.083333333,48,0,8,-16,47952,15.433,31968,4,582,0.000,1.332e-15,1.064370,0,49,0x123456789abcdef0,31968,15968,12.000
