# experiment P-8 (R-001)
# hypothesis: A weld gated on Lk u ∩ Lk v = ∅, leaving rejected pairs split, yields exactly 0 non-manifold edges and 0 non-manifold vertices on all eight fields × all extractors, where the unconditional weld yields N > 0.
# falsified by: The gated weld still producing non-manifold output — which would prove the surface link condition insufficient for index-buffer realisation, and is the more interesting result.
# commit 94d5899 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T01:33:41Z
non_manifold_edges_ungated,non_manifold_edges_gated,non_manifold_vertices_ungated,non_manifold_vertices_gated,rejected_merges,vertex_delta,weld_ms_ungated,weld_ms_gated,extractor,field
0,0,0,96,108,108,1.0799,0.6148,marching_cubes,sphere
0,0,0,96,108,108,1.0233,0.5781,marching_cubes+decider,sphere
0,0,0,170,181,181,3.5355,1.8589,marching_tetrahedra,sphere
0,0,0,0,0,0,0.9505,0.4694,surface_nets,sphere
0,0,0,0,0,0,1.0080,0.4671,dual_contouring,sphere
0,0,0,0,0,0,1.0246,0.4708,manifold_dual_contouring,sphere
0,0,0,171,182,182,3.6772,1.8189,subgrid_marching_tetrahedra,sphere
0,0,0,108,119,119,0.9635,0.5460,marching_cubes,torus
0,0,0,108,119,119,0.9618,0.5386,marching_cubes+decider,torus
0,0,0,180,196,196,3.3571,1.7333,marching_tetrahedra,torus
0,0,0,0,0,0,0.8548,0.4044,surface_nets,torus
0,0,4,4,0,0,0.9283,0.4067,dual_contouring,torus
0,0,4,4,0,0,0.9294,0.4135,manifold_dual_contouring,torus
0,0,0,180,196,196,3.2532,1.7520,subgrid_marching_tetrahedra,torus
0,0,0,102,102,102,1.0056,0.6223,marching_cubes,box_exact
0,0,0,102,102,102,1.0103,0.6242,marching_cubes+decider,box_exact
0,0,0,195,204,204,4.3699,3.0188,marching_tetrahedra,box_exact
0,0,0,0,0,0,0.8790,0.5152,surface_nets,box_exact
0,0,0,0,0,0,0.8834,0.5162,dual_contouring,box_exact
0,0,0,0,0,0,0.8778,0.5133,manifold_dual_contouring,box_exact
0,0,0,202,211,211,4.5011,2.9218,subgrid_marching_tetrahedra,box_exact
0,0,0,107,109,109,1.2221,0.6840,marching_cubes,csg_difference
0,0,0,107,109,109,1.1036,0.6780,marching_cubes+decider,csg_difference
0,0,0,200,211,211,4.4310,2.9028,marching_tetrahedra,csg_difference
0,0,0,0,0,0,1.0180,0.5522,surface_nets,csg_difference
0,0,0,0,0,0,1.0162,0.5482,dual_contouring,csg_difference
0,0,0,0,0,0,0.9911,0.5531,manifold_dual_contouring,csg_difference
0,0,0,226,241,241,4.8585,3.0790,subgrid_marching_tetrahedra,csg_difference
0,0,0,70,70,70,0.3786,0.2408,marching_cubes,thin_plate
0,0,0,70,70,70,0.3804,0.2381,marching_cubes+decider,thin_plate
0,0,0,132,140,140,1.4752,0.9491,marching_tetrahedra,thin_plate
0,0,0,0,0,0,0.2942,0.1571,surface_nets,thin_plate
0,0,0,0,0,0,0.2894,0.1567,dual_contouring,thin_plate
0,0,0,0,0,0,0.2913,0.1613,manifold_dual_contouring,thin_plate
4,0,6,135,143,143,1.4756,0.9516,subgrid_marching_tetrahedra,thin_plate
0,0,0,65,85,85,3.1989,1.5324,marching_cubes,gyroid
0,0,0,65,85,85,3.1800,1.5215,marching_cubes+decider,gyroid
0,0,0,142,159,159,9.9966,4.8215,marching_tetrahedra,gyroid
0,0,0,0,0,0,3.2124,1.4229,surface_nets,gyroid
0,0,0,0,0,0,3.1909,1.4288,dual_contouring,gyroid
0,0,0,0,0,0,3.2235,1.4257,manifold_dual_contouring,gyroid
0,0,0,143,146,146,10.4595,4.8090,subgrid_marching_tetrahedra,gyroid
0,0,0,77,84,84,1.9858,0.9893,marching_cubes,fbm_terrain
0,0,0,77,84,84,1.9964,0.9977,marching_cubes+decider,fbm_terrain
0,0,0,124,134,134,5.5311,2.6821,marching_tetrahedra,fbm_terrain
1,1,2,2,0,0,1.9072,0.8850,surface_nets,fbm_terrain
1,1,2,2,0,0,1.9812,0.8784,dual_contouring,fbm_terrain
0,0,0,0,0,0,1.9034,0.8853,manifold_dual_contouring,fbm_terrain
0,0,0,126,136,136,5.4566,2.7854,subgrid_marching_tetrahedra,fbm_terrain
0,0,0,407,463,463,7.0411,4.6491,marching_cubes,noise_cavity
0,0,0,408,463,463,7.0614,4.6074,marching_cubes+decider,noise_cavity
0,0,0,669,763,763,20.2906,14.6407,marching_tetrahedra,noise_cavity
276,276,536,536,1,1,6.1037,2.9847,surface_nets,noise_cavity
277,276,539,537,8,8,6.2047,3.0119,dual_contouring,noise_cavity
66,65,145,143,9,9,6.3755,3.0335,manifold_dual_contouring,noise_cavity
222,218,301,1092,928,928,23.8560,20.4703,subgrid_marching_tetrahedra,noise_cavity
