# experiment P-120 (R-120)
# hypothesis: WU, OTOO AND SHOSHANI REPLACE POINTER-BASED EQUIVALENCE TREES WITH A FLAT ARRAY AND REPORT 5x TO 100x ON RANDOM BINARY IMAGES, WHICH IS AN UPPER BOUND HERE AND NOT A PREDICTION -- VOXEL ISLANDS ARE NOT RANDOM BINARY IMAGES. What this registration must state, because it is the reason the row could look like a reopening: connectivity.rs:29-46 EXPLICITLY REFUSES a union-find in favour of flat labels, because it WAS a union-find and adding fill broke it (x26) -- parent pointers encode union history rather than spatial adjacency. The three union-finds in crates/isomesh/src/ are private and each justified in prose: validate.rs:541 Dsu, validate/sealing.rs:835 UnionFind, and connectivity/world.rs:387 rebuilt from scratch on every restitch. This row is the PER-CHUNK, REBUILT-FROM-SCRATCH kind, it is bench-local, and it ANSWERS x26 rather than reopening it. (C1) At least 2x against the shipped flat-label structure on per-chunk island labelling. (C2) Final labels are CONSECUTIVE and independent of iteration order. (C3) The label sets equal the flat-label path's partition exactly. SHARE: per-chunk labelling only, which is not on the extraction path at all -- so C1's 2x is against a named structure rather than a fraction of a total, and no extraction speedup is claimed or implied.
# falsified by: C1 by under 2x against the current structure. C2 by any label depending on iteration order, which is x26's defect in a new costume and closes the row. C3 by the two partitions differing. VACUITY CONTROL: components must exceed 1 on the DUG arm -- column components_dug asserted greater than 1 -- because a labeller tested on a connected world is not being tested.
# commit 2a9b234 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:46:15Z
field,resolution,arm,chunk_cells,components,components_dug,ns_per_cell_flat,ns_per_cell_union_find,ratio,labels_consecutive,partition_identical,order_independent,c1_holds,c2_holds,c3_holds,air_fraction,air_samples,bubbles,cell_size,chunks,components_total,control_distinct_final_states,count_ones_per_cell_flat,count_ones_per_cell_union_find,cycles_per_cell_flat,cycles_per_cell_union_find,distinct_final_states,domain_lo,forms_agree,ghz,inner_reps_flat,inner_reps_union_find,instruction_ratio,instructions_per_cell_flat,instructions_per_cell_union_find,l1_miss_ratio,l1_misses_per_cell_flat,l1_misses_per_cell_union_find,mirror_matches_shipped,mutant_partition_mismatches,ns_per_cell_shipped_air,ns_ratio,orders_tested,provisional_labels,ratio_band_decides,ratio_rep_max,ratio_rep_median,ratio_rep_min,reps,samples_labelled,samples_per_chunk,target_feature_popcnt
sphere,65,base,32768,1,28,8.79312,3.94514,2.2290,true,true,true,true,true,true,0.93202,267952,125,0.062500,8,8,1,0,0,36.75829,16.49116,1,-2.0000,true,4.1803,14,28,2.0303,161.57128,79.57832,17.1471,2.69396,0.15711,true,260096,16.95316,2.2288,3,109,true,2.2692,2.2355,2.2174,9,287496,35937,false
sphere,65,dug,32768,28,28,8.98746,4.08712,2.1983,true,true,true,true,true,true,0.85009,244397,125,0.062500,8,133,3,0,0,37.59293,17.10096,1,-2.0000,false,4.1828,13,28,1.9843,146.95399,74.05703,16.7351,2.64707,0.15817,true,236768,16.63074,2.1990,3,679,true,2.2120,2.1999,2.1881,9,287496,35937,false
torus,65,base,32768,1,28,9.12254,3.89824,2.3414,true,true,true,true,true,true,0.97064,279056,125,0.062500,8,8,1,0,0,38.14504,16.29132,1,-2.0000,true,4.1814,13,29,2.0827,168.02009,80.67307,17.9519,2.81222,0.15665,true,270500,17.41640,2.3402,3,92,true,2.3885,2.3404,2.3240,9,287496,35937,false
torus,65,dug,32768,28,28,9.28759,4.09123,2.2691,true,true,true,true,true,true,0.87888,252674,125,0.062500,8,133,3,0,0,38.82818,17.11155,1,-2.0000,true,4.1807,13,28,2.0238,151.66933,74.94243,17.2042,2.73935,0.15923,true,244450,17.35011,2.2701,3,704,true,2.2891,2.2704,2.2632,9,287496,35937,false
box_exact,65,base,32768,1,28,8.34017,3.65129,2.2826,true,true,true,true,true,true,0.88602,254728,125,0.062500,8,8,1,0,0,34.84731,15.26679,1,-2.0000,true,4.1783,14,31,2.0513,153.78181,74.96625,16.6398,2.60696,0.15667,true,247040,16.03876,2.2842,3,10,true,2.3153,2.2781,2.2539,9,287496,35937,false
box_exact,65,dug,32768,28,28,8.57660,3.81535,2.2474,true,true,true,true,true,true,0.81952,235608,125,0.062500,8,133,3,0,0,35.84931,15.95111,1,-2.0000,false,4.1799,14,29,1.9992,141.89734,70.97719,15.9222,2.52237,0.15842,true,228115,16.02520,2.2479,3,637,true,2.2836,2.2456,2.2198,9,287496,35937,false
csg_difference,65,base,32768,1,28,8.51218,3.78183,2.2501,true,true,true,true,true,true,0.90187,259283,125,0.062500,8,8,1,0,0,35.59072,15.81769,1,-2.0000,true,4.1812,14,31,2.0267,156.42285,77.17973,16.8555,2.65652,0.15761,true,251445,16.39010,2.2508,3,86,true,2.2777,2.2455,2.2250,9,287496,35937,false
csg_difference,65,dug,32768,28,28,8.72532,3.98741,2.1876,true,true,true,true,true,true,0.83218,239248,125,0.062500,8,133,3,0,0,36.48247,16.67663,1,-2.0000,false,4.1812,13,28,1.9812,143.97498,72.67201,16.0952,2.55850,0.15896,true,231630,16.35110,2.1882,3,686,true,2.2060,2.1882,2.1766,9,287496,35937,false
thin_plate,65,base,32768,1,28,9.16563,3.89937,2.3488,true,true,true,true,true,true,0.99288,285448,125,0.062500,8,8,1,0,0,38.32003,16.31479,1,-2.0000,true,4.1808,13,28,2.1048,171.83706,81.64045,18.6289,2.91384,0.15641,true,276800,17.72812,2.3505,3,10,true,2.3801,2.3475,2.2463,9,287496,35937,false
thin_plate,65,dug,32768,28,28,9.25035,4.02341,2.2946,true,true,true,true,true,true,0.89528,257389,125,0.062500,8,133,3,0,0,38.63656,16.83793,1,-2.0000,true,4.1768,13,28,2.0424,154.43295,75.61193,17.5734,2.78151,0.15828,true,249090,17.39534,2.2991,3,658,true,2.3397,2.2961,2.2817,9,287496,35937,false
