# experiment P-136 (R-136)
# hypothesis: THIS ROW EXISTS TO STOP AN OVERCLAIM BEFORE SOMEBODY MAKES IT. It is tempting to read Group A as 'the 730-subcase table becomes a corollary of an invariant'. It does not, and the registration says why in advance: sign(Delta) counts hyperbola intersections in the plane of a pencil, and the interior test asks which side of the surface a tunnel opens on, which is a different question with a different answer. (C1) Over the configurations M-165 identifies (Chernyaev's numerator-only test wrong on 1,966 of 15,6xx), sign(Delta) alone agrees with the correct interior verdict on strictly fewer than all of them, and the disagreement set is characterised. (C2) The classes where Delta is insufficient are named explicitly, so the boundary is in the ledger rather than in somebody's head. SHARE: none -- this is a negative result registered before its positive twin can be believed.
# falsified by: C1 by full agreement, which would be a major and unexpected win and would justify reopening the A-002 interior line entirely. C2 by an uncharacterisable disagreement set, which would mean the instrument is too coarse. VACUITY CONTROL: the configuration set must reproduce M-165's 12.6% disagreement rate as a control column, or the fixture is not the population M-165 measured.
# commit e9bf133 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:09:08Z
configuration_class,delta_sign,interior_test_verdict,agreement_rate,cases_where_delta_insufficient,chernyaev_disagreement_overlap,c1_holds,c2_holds,base_rate,best_rule_wrong,best_sign_rule,case_index,chernyaev_disagreement_rate,chernyaev_wrong,class_is_delta_insufficient,configurations,decider_classes_observed,delta_blind_to_face_negation,delta_information_gain,delta_insufficient_classes,delta_neg,delta_pos,delta_zero,endpoint_condition_population,is_control,joined_count,m165_rate_error,m165_rate_registered,m165_rate_reproduced,natural_rule_rate,overlap_of_chernyaev_wrong,overlap_of_delta_wrong,partition,poled,population_agreement_rate,population_base_rate,population_delta_insufficient,population_information_gain,separated_count,separated_inside_endpoint_condition,verdict_is_constant,wall_ns
case150/dm00,zero|pos,joined|separated,0.999492,0|31|47|63,2,true,true,0.993142,2,zero->separated|pos->joined,150,0.000508,2,true,3937,14,true,0.006350,4,0,3908,29,29,false,3910,0.000176,0.126000,0.125824,0.999492,2/2,2/2,decider_mask,3937,0.985600,0.985600,225,0.000000,27,true,false,2265297
case150/dm05,pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,pos->joined,150,0.322464,89,false,276,14,true,0.000000,4,0,276,0,26,false,276,0.000176,0.126000,0.125824,1.000000,0/89,0/0,decider_mask,276,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm10,pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,pos->joined,150,0.322464,89,false,276,14,true,0.000000,4,0,276,0,26,false,276,0.000176,0.126000,0.125824,1.000000,0/89,0/0,decider_mask,276,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm16,zero|pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,zero->joined|pos->joined,150,0.079380,82,false,1033,14,true,0.000000,4,0,959,74,0,false,1033,0.000176,0.126000,0.125824,0.928364,0/82,0/0,decider_mask,1033,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm21,neg|pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,neg->joined|pos->joined,150,0.742604,753,false,1014,14,true,0.000000,4,654,360,0,138,false,1014,0.000176,0.126000,0.125824,0.355030,0/753,0/0,decider_mask,1014,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm26,neg|pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,neg->joined|pos->joined,150,0.742604,753,false,1014,14,true,0.000000,4,654,360,0,138,false,1014,0.000176,0.126000,0.125824,0.355030,0/753,0/0,decider_mask,1014,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm31,pos,joined|separated,0.939394,0|31|47|63,50,true,true,0.939394,50,pos->joined,150,0.060606,50,true,825,14,true,0.000000,4,0,825,0,246,false,775,0.000176,0.126000,0.125824,0.939394,50/50,50/50,decider_mask,825,0.985600,0.985600,225,0.000000,50,true,false,2265297
case150/dm32,zero|pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,zero->joined|pos->joined,150,0.000000,0,false,1033,14,true,0.000000,4,0,951,82,0,false,1033,0.000176,0.126000,0.125824,0.920620,0/0,0/0,decider_mask,1033,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm37,pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,pos->joined,150,0.000000,0,false,1014,14,true,0.000000,4,0,1014,0,138,false,1014,0.000176,0.126000,0.125824,1.000000,0/0,0/0,decider_mask,1014,0.985600,0.985600,225,0.000000,0,true,true,2265297
case150/dm42,pos,joined,1.000000,0|31|47|63,0,true,true,1.000000,0,pos->joined,150,0.000000,0,false,1014,14,true,0.000000,4,0,1014,0,138,false,1014,0.000176,0.126000,0.125824,1.000000,0/0,0/0,decider_mask,1014,0.985600,0.985600,225,0.000000,0,true,true,2265297
