# experiment P-134 (R-134)
# hypothesis: Delta is homogeneous of degree 4, so |Delta| / (max|fi|)^4 is scale-free and is a candidate magnitude of ambiguity where the crate currently has only a sign -- the same move persistence makes against the interior test, but computable in O(1) from data already in hand. (C1) The normalised magnitude is invariant under scaling all eight corner values, to f64 rounding, and under the 48 octahedral elements. (C2) It rank-correlates with per-cell symmetric Hausdorff error above 0.5 on at least four of eight fields, making it a candidate refinement criterion rather than merely a classifier. SHARE: C2 offers a criterion for the adaptivity stage; it does not by itself move any cost.
# falsified by: C1 by scale dependence, which would mean the normalisation is wrong. C2 by correlation below 0.5 on five or more fields, which would say ambiguity magnitude and geometric error are different phenomena -- likely, and it would close the row cleanly. VACUITY CONTROL: the per-cell Hausdorff column must have non-zero variance on every field, or the correlation is against a constant.
# commit 1eb925d on amd-ryzen-9-5900x-12-core at 2026-08-30T14:10:25Z
field,resolution,normalisation,delta_magnitude,scale_invariance_error,rank_correlation_with_defects,rank_correlation_with_hausdorff,threshold_sweep,cells_above_threshold,c1_holds,c2_holds,ambiguous_face_cells,bisections_per_segment,boundary_features,c1_dyadic_is_exact,c1_within_rounding_envelope,c2_bar,c2_fields_above_bar,c2_min_fields,c2_resolution,cayley_l1_norm,cayley_terms,cayley_total_degree,cell_size,cells,cells_where_b_dominates,cells_without_triangles,cells_without_true_surface_points,correlation_population,defect_cells,defect_features,defect_variance,delta_magnitude_max,delta_magnitude_mean,delta_magnitude_min,delta_magnitude_variance,distance_reading_is_exact,exclusion_reason,f32_disagreements_above_threshold,f32_rounding_floor,f32_sign_disagreements,field_bound,gradient_floor_points,gradient_norm_median,hausdorff_field_to_mesh_median,hausdorff_max,hausdorff_median,hausdorff_median_in_cells,hausdorff_mesh_to_field_median,hausdorff_variance,headline_threshold,in_correlation_population,min_denominator,misoriented_features,nonmanifold_features,nonzero_transform_deviations,normalised_magnitude_flops,octahedral_elements,paired_cells,rank_correlation_with_ambiguous_faces,rank_correlation_with_uncertified,rounding_envelope,scale_error_dyadic,scale_error_octahedral,scale_error_rough,scale_error_rounding_units,segments_per_cell,shipped_max_normalised_gap,shipped_route_sign_disagreements,surface_cells,transforms_per_cell,triangles,uncertified_cells,vertices
sphere,33,abs(Delta)/max(abs(f_i))^4,4.141779844e-4,6.620138465e-16,0.000000,0.198941,1e-8:1160|1e-6:1160|1e-4:944|1e-2:0|1e-1:0,944,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.125000000,32768,656,0,0,7,0,0,0.000000000e0,5.724661581e-3,9.976194379e-4,2.748432540e-6,1.618504721e-6,true,none,0,4.291534e-5,0,exact,0,1.000000000,4.546496539e-3,7.845838247e-3,4.546496539e-3,0.036372,4.010897410e-3,2.006930278e-6,1e-4,true,8.998626384e-2,0,0,60848,46,48,1160,0.000000,0.000000,64,0.000000000e0,6.516055057e-16,6.620138465e-16,0.035944,28,3.895725e-16,0,1160,60,2312,0,1158
torus,33,abs(Delta)/max(abs(f_i))^4,7.470129619e-3,7.077671782e-16,0.000000,0.257079,1e-8:1128|1e-6:1128|1e-4:1112|1e-2:432|1e-1:24,1112,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.125000000,32768,560,0,0,7,0,0,0.000000000e0,1.635731727e-1,1.736637197e-2,9.629397257e-5,7.810436718e-4,true,none,0,4.291534e-5,0,exact,0,1.000000000,7.876971630e-3,3.015429006e-2,8.204586988e-3,0.065637,7.182832998e-3,2.054120553e-5,1e-4,true,8.564559855e-2,0,0,58408,46,48,1128,0.000000,0.000000,64,0.000000000e0,5.360295541e-16,7.077671782e-16,0.055662,28,3.902436e-16,0,1128,60,2256,0,1128
box_exact,33,abs(Delta)/max(abs(f_i))^4,0.000000000e0,0.000000000e0,0.000000,0.000000,1e-8:0|1e-6:0|1e-4:0|1e-2:0|1e-1:0,0,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.125000000,32768,764,588,0,7,0,0,0.000000000e0,0.000000000e0,0.000000000e0,0.000000000e0,0.000000000e0,true,constant-normalised-magnitude-polyhedral-field,0,4.291534e-5,0,exact,0,1.000000000,9.536743164e-7,1.443359155e-1,9.536743164e-7,0.000008,0.000000000e0,1.497206345e-3,1e-4,false,1.250000000e-1,0,0,0,46,48,764,0.000000,0.000000,64,0.000000000e0,0.000000000e0,0.000000000e0,0.000000,28,0.000000e0,0,1352,60,2696,176,1350
csg_difference,33,abs(Delta)/max(abs(f_i))^4,0.000000000e0,4.935288289e-16,0.000000,0.491836,1e-8:226|1e-6:226|1e-4:181|1e-2:39|1e-1:6,181,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.125000000,32768,895,405,0,7,0,0,0.000000000e0,1.149606044e-1,1.554114470e-3,0.000000000e0,9.351937258e-5,false,none,0,4.291534e-5,0,underestimate,0,1.000000000,9.536743164e-7,1.514438566e-1,9.536743164e-7,0.000008,0.000000000e0,1.363379825e-3,1e-4,true,7.272413360e-2,0,0,10761,46,48,983,0.000000,-0.066258,64,0.000000000e0,4.935288289e-16,4.371503159e-16,0.087626,28,2.958195e-16,0,1388,60,2768,199,1386
thin_plate,33,abs(Delta)/max(abs(f_i))^4,2.643992495e-18,1.057596998e-17,0.000000,0.071906,1e-8:8|1e-6:8|1e-4:8|1e-2:8|1e-1:0,8,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.125000000,32768,400,0,0,7,0,0,0.000000000e0,1.234567901e-2,1.929012346e-4,0.000000000e0,2.344285837e-6,true,none,0,4.291534e-5,196,exact,0,1.000000000,1.907348633e-7,8.838699895e-2,1.907348633e-7,0.000002,3.469446952e-18,1.269912414e-4,1e-4,true,1.125000000e-1,0,0,18672,46,48,512,0.000000,0.000000,64,0.000000000e0,1.057596998e-17,8.068824753e-18,0.079102,28,1.057597e-17,0,512,60,1016,0,510
gyroid,33,abs(Delta)/max(abs(f_i))^4,1.763654419e-2,2.664535259e-15,0.000000,0.689276,1e-8:5240|1e-6:5237|1e-4:4731|1e-2:3205|1e-1:949,4731,true,false,27,16,0,true,true,0.50,3,4,65,24,12,4,0.437500000,32768,2510,1,0,7,0,0,0.000000000e0,4.493030175e0,7.436178186e-2,3.444552358e-7,4.048131825e-2,false,none,0,4.291534e-5,0,lipschitz,0,1.475206736,1.538366489e-2,5.163494282e-1,1.722765167e-2,0.039377,1.293584260e-2,3.740763976e-3,1e-4,true,2.146091507e-1,0,0,258730,46,48,5239,0.083499,0.330743,64,0.000000000e0,1.776356839e-15,2.664535259e-15,0.110199,28,1.635563e-15,0,5240,60,10632,370,5292
fbm_terrain,33,abs(Delta)/max(abs(f_i))^4,2.544507384e-2,1.344844375e-15,0.058808,0.165041,1e-8:1958|1e-6:1955|1e-4:1897|1e-2:1288|1e-1:410,1897,true,false,30,16,190,true,true,0.50,3,4,65,24,12,4,0.500000000,32768,966,0,0,7,185,190,9.272871257e-2,1.480288276e0,7.845582343e-2,2.348812127e-7,2.110761214e-2,false,none,0,4.291534e-5,0,unbounded,0,1.343343369,8.506366086e-2,4.717325803e-1,9.961217893e-2,0.199224,8.125635591e-2,4.092464008e-3,1e-4,true,2.996531394e-1,0,0,94405,46,48,1958,0.163871,0.000000,64,0.000000000e0,1.344844375e-15,1.332267630e-15,0.134882,28,6.675908e-16,0,1958,60,3946,0,2069
noise_cavity,33,abs(Delta)/max(abs(f_i))^4,9.620177358e-2,2.664535259e-15,0.000000,0.475842,1e-8:6176|1e-6:6168|1e-4:5882|1e-2:4804|1e-1:3045,5882,true,false,502,16,0,true,true,0.50,3,4,65,24,12,4,0.125000000,32768,2859,10,0,7,0,0,0.000000000e0,6.424062620e0,2.477387172e-1,2.238136486e-7,1.597734851e-1,false,none,0,4.291534e-5,0,unbounded,0,3.067584055,2.856119174e-2,4.385013888e-1,3.650506370e-2,0.292041,2.662314175e-2,1.941536910e-3,1e-4,true,5.565246708e-2,0,0,270986,46,48,6166,0.216377,0.511743,64,0.000000000e0,1.776356839e-15,2.664535259e-15,0.120316,28,6.166966e-15,0,6176,60,13236,3173,6522
sphere,65,abs(Delta)/max(abs(f_i))^4,1.101533378e-4,1.018702809e-15,0.000000,0.186149,1e-8:4760|1e-6:4688|1e-4:2552|1e-2:0|1e-1:0,2552,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.062500000,262144,2420,0,0,7,0,0,0.000000000e0,1.917420416e-3,2.482375455e-4,3.825221637e-8,1.238216223e-7,true,none,0,4.291534e-5,0,exact,0,1.000000000,1.113246422e-3,3.019689122e-3,1.126553432e-3,0.018025,9.924405580e-4,2.594543450e-7,1e-4,true,4.189314270e-2,0,0,249742,46,48,4760,0.000000,0.000000,64,0.000000000e0,7.906273292e-16,1.018702809e-15,0.047273,28,4.170279e-16,0,4760,60,9512,0,4758
torus,65,abs(Delta)/max(abs(f_i))^4,2.004130816e-3,9.089408913e-16,0.000000,0.211601,1e-8:4208|1e-6:4208|1e-4:3968|1e-2:672|1e-1:0,3968,true,false,0,16,0,true,true,0.50,3,4,65,24,12,4,0.062500000,262144,1674,0,0,7,0,0,0.000000000e0,3.105287130e-2,4.942329936e-3,6.248944416e-6,4.577064692e-5,true,none,0,4.291534e-5,0,exact,0,1.000000000,1.999805877e-3,6.869909561e-3,2.076666539e-3,0.033227,1.843076762e-3,9.167503006e-7,1e-4,true,4.185429645e-2,0,0,220038,46,48,4208,0.000000,0.000000,64,0.000000000e0,9.089408913e-16,8.597452177e-16,0.048568,28,4.716462e-16,0,4208,60,8416,0,4208
