# experiment P-41 (R-040)
# hypothesis: The sign lattices this crate meshes are not well-composed, and that is where its dual extractors go non-manifold. A digital set is well-composed exactly when its boundary is a 2-manifold, which Latecki characterises by the absence of two critical configurations: a diagonal pair sharing only an edge (2D-critical) and a diagonal pair sharing only a vertex (3D-critical). Clause one: over the eight reference fields at 65 samples per axis, the count of cells whose 2x2x2 sign neighbourhood hosts a critical configuration is non-zero on at least noise_cavity. Clause two: at least 90% of the non-manifold edge and vertex incidents that validate::MeshReport already reports for DualContouring and SurfaceNets occur in cells the census flagged critical. This registers the DETECTOR only. The repair is deliberately not registered: it moves the surface by up to a cell and breaks every golden hash, so it is only worth designing if clause two holds.
# falsified by: A critical-configuration count of zero on all eight fields, meaning the lattice is already well-composed and the non-manifold output comes from somewhere else entirely -- the QEF vertex escaping its cell being the obvious other suspect. Or co-location below 90%, meaning the sign lattice is not the cause and a repair would be treating the wrong object.
# commit cceb112 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T17:58:48Z
field,samples_per_axis,cells,critical_2d_cells,critical_3d_cells,extractor,non_manifold_edges,non_manifold_vertices,incidents_in_critical_cells,colocation_fraction,active_cells,colocation_fraction_both_ends,counts_agree,critical_active_cells,critical_cell_fraction,critical_cells,critical_cells_with_nm_vertex,edge_incidents_in_critical,incidents_in_critical_both_ends,incidents_total,locations_agree,mesh_triangles,mesh_vertices,nm_vertices_on_cell_boundary,null_colocation_fraction,overall_colocation_fraction,overall_in_critical_cells,overall_incidents,pooled_colocation_fraction,pooled_in_critical_cells,pooled_incidents,recomputed_non_manifold_edges,recomputed_non_manifold_vertices,sign_active_cells,vertex_cells_match_sign_active,vertex_cells_unique,vertex_incidents_in_critical,vertices_escaping_grid,vertices_in_inactive_cells,vertices_on_cell_boundary
sphere,65,262144,0,0,dual_contouring,0,0,0,n/a,4760,n/a,true,0,0.000000,0,0,0,0,0,true,9516,4760,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,4760,true,true,0,0,0,0
sphere,65,262144,0,0,surface_nets,0,0,0,n/a,4760,n/a,true,0,0.000000,0,0,0,0,0,true,9516,4760,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,4760,true,true,0,0,0,0
torus,65,262144,0,0,dual_contouring,0,0,0,n/a,4208,n/a,true,0,0.000000,0,0,0,0,0,true,8416,4208,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,4208,true,true,0,0,0,0
torus,65,262144,0,0,surface_nets,0,0,0,n/a,4208,n/a,true,0,0.000000,0,0,0,0,0,true,8416,4208,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,4208,true,true,0,0,0,0
box_exact,65,262144,0,0,dual_contouring,0,0,0,n/a,5768,n/a,true,0,0.000000,0,0,0,0,0,true,11532,5768,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,5768,true,true,0,0,0,0
box_exact,65,262144,0,0,surface_nets,0,0,0,n/a,5768,n/a,true,0,0.000000,0,0,0,0,0,true,11532,5768,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,5768,false,true,0,0,2700,5400
csg_difference,65,262144,0,0,dual_contouring,0,0,0,n/a,6014,n/a,true,0,0.000000,0,0,0,0,0,true,12024,6014,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,6014,true,true,0,0,0,0
csg_difference,65,262144,0,0,surface_nets,0,0,0,n/a,6014,n/a,true,0,0.000000,0,0,0,0,0,true,12024,6014,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,6014,false,true,0,0,1953,4653
thin_plate,65,262144,0,0,dual_contouring,0,0,0,n/a,2048,n/a,true,0,0.000000,0,0,0,0,0,true,4092,2048,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,2048,true,true,0,0,0,0
thin_plate,65,262144,0,0,surface_nets,0,0,0,n/a,2048,n/a,true,0,0.000000,0,0,0,0,0,true,4092,2048,0,0.000000,1.000000,2442,2442,1.000000,1221,1221,0,0,2048,true,true,0,0,0,0
gyroid,65,262144,132,9,dual_contouring,69,141,210,1.000000,21432,1.000000,true,141,0.000538,141,141,69,210,210,true,43068,21432,0,0.006579,1.000000,2442,2442,1.000000,1221,1221,69,141,21432,true,true,141,0,0,0
gyroid,65,262144,132,9,surface_nets,69,141,210,1.000000,21432,1.000000,true,141,0.000538,141,141,69,210,210,true,43068,21432,0,0.006579,1.000000,2442,2442,1.000000,1221,1221,69,141,21432,false,true,141,0,1,1
fbm_terrain,65,262144,58,0,dual_contouring,29,58,87,1.000000,8413,1.000000,true,58,0.000221,58,58,29,87,87,true,16496,8413,0,0.006894,1.000000,2442,2442,1.000000,1221,1221,29,58,8413,true,true,58,0,0,0
fbm_terrain,65,262144,58,0,surface_nets,29,58,87,1.000000,8413,1.000000,true,58,0.000221,58,58,29,87,87,true,16496,8413,0,0.006894,1.000000,2442,2442,1.000000,1221,1221,29,58,8413,true,true,58,0,0,0
noise_cavity,65,262144,567,35,dual_contouring,322,602,924,1.000000,28375,1.000000,true,602,0.002296,602,602,322,924,924,true,57764,28375,0,0.021216,1.000000,2442,2442,1.000000,1221,1221,322,602,28375,true,true,602,0,0,0
noise_cavity,65,262144,567,35,surface_nets,322,602,924,1.000000,28363,1.000000,true,602,0.002296,602,602,322,924,924,true,57764,28375,0,0.021225,1.000000,2442,2442,1.000000,1221,1221,322,602,28375,false,false,602,0,2,15
