# experiment P-154 (R-154)
# hypothesis: The Traveling Salesman Theorem's content is that sum over Q of beta(Q)^2 * diam(Q)^d converges precisely for rectifiable sets -- which turns multiscale flatness into a number computed over the whole field before any mesh exists. That is an a-priori budget, which no criterion in the crate currently provides; M-13 gives surface cells ~ 1.5.A/h^2 after the fact. (C1) The beta-sum predicts final triangle count within 25% on at least five of eight fields at three resolutions. (C2) The sum converges as scales are added -- reported as a convergence column -- because a divergent sum would mean the field is not rectifiable at the resolutions we mesh at, which would be a more interesting finding than the budget. SHARE: none -- this predicts a cost, it does not change one.
# falsified by: C1 by above 25% on four or more fields, which would leave M-13's area law the better predictor and close the row. C2 by divergence, which reframes the whole thing. VACUITY CONTROL: at least four dyadic scales must be summed, or convergence cannot be observed.
# commit 3975077 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:55Z
field,resolution,beta_sum,predicted_triangles,actual_triangles,prediction_error,prediction_error_ratio,sum_converges,scales_used,c1_holds,c2_holds,area_over_h2,beta_over_h2,beta_sum_per_area,beta_sum_spread,c1_bar,c1_fields_within_bar,c1_min_fields,cell_size,cells,convergence_tolerance,dof_residual,dof_spent,extract_samples,field_constant_hi,field_constant_lo,field_feasible_any_constant,field_samples,fit_rows,fitted_constant,increment_last,increment_ratio_last,m13_anisotropic_error_ratio,m13_anisotropic_fields_within_bar,m13_anisotropic_predicted_triangles,m13_cells_constant,m13_cells_error_ratio,m13_error_ratio,m13_fields_within_bar,m13_fitted_constant,m13_fitted_error_ratio,m13_fitted_fields_within_bar,m13_fitted_predicted_triangles,m13_predicted_cells,m13_predicted_triangles,max_fields_any_constant,max_fields_constant_hi,max_fields_constant_lo,mean_l1_normal,mesh_area,required_constant,row_within_bar,samples_ratio,scales,slab_evaluations,slab_evaluations_per_patch,slab_fits,surface_cells,triangles_per_surface_cell
sphere,17,0.710123138,403,536,-133,0.248134,true,4,false,true,197.167659,11.361970,0.057625933,901.843081,0.25,1,5,0.250000000,4096,0.10,23,1,4913,58.968646,39.002245,true,316204,24,35.457497,0.012526108,0.234411,0.111940,6,596,1.379537,0.088235,0.104478,5,2.579116,0.050373,4,509,296,592,4,11.219131,9.161527,1.510376,12.322979,47.174917,true,64.361,2|4|8|16,25112,73,344,272,1.970588
torus,17,0.771369351,438,656,-218,0.332317,true,4,false,true,180.266096,12.341910,0.068464952,901.843081,0.25,1,5,0.250000000,4096,0.10,23,1,4913,51.726674,39.864171,true,316204,24,35.457497,0.048250946,0.159304,0.175305,6,541,1.819532,0.176829,0.175305,5,2.579116,0.291159,4,465,270,541,4,11.219131,9.161527,1.499913,11.266631,53.152229,false,64.361,2|4|8|16,30952,73,424,328,2.000000
box_exact,17,3.373697917,1914,584,1330,2.277397,false,4,false,true,324.751580,53.979167,0.166216795,901.843081,0.25,1,5,0.250000000,4096,0.10,23,1,4913,13.523736,9.161527,true,316204,24,35.457497,0.410156250,0.514706,0.273973,6,744,0.911466,0.645270,0.667808,5,2.579116,0.434932,4,838,487,974,4,11.219131,9.161527,1.145491,20.296974,10.818989,false,64.361,2|4|8|16,26864,73,368,296,1.972973
csg_difference,17,3.931075993,2230,584,1646,2.818493,false,4,false,true,311.817182,62.897216,0.201711835,901.843081,0.25,1,5,0.250000000,4096,0.10,23,1,4913,11.606237,8.031163,true,316204,24,35.457497,0.592540089,0.580610,0.279110,6,747,0.949274,0.581081,0.601027,5,2.579116,0.376712,4,804,468,935,4,11.219131,9.161527,1.197634,19.488574,9.284990,false,64.361,2|4|8|16,27521,73,377,296,1.972973
thin_plate,17,0.003031951,2,248,-246,0.991935,false,4,false,false,124.069950,0.048511,0.000390999,901.843081,0.25,1,5,0.250000000,4096,0.10,23,1,4913,1745.834089,3834.165400,false,316204,24,35.457497,0.001528742,2.050775,0.024194,6,254,1.031676,0.453125,0.500000,5,2.579116,0.290323,4,320,186,372,4,11.219131,9.161527,1.022004,7.754372,5112.220533,false,64.361,2|4|8|16,12848,73,176,128,1.937500
gyroid,17,173.589186168,8039,2536,5503,2.169953,true,4,false,true,812.220050,226.728733,0.279146929,901.843081,0.25,1,5,0.875000000,4096,0.10,23,1,4913,13.981466,8.479293,true,316204,24,35.457497,14.686308349,0.469673,0.003549,6,2527,1.494669,0.003295,0.039038,5,2.579116,0.173896,4,2095,1218,2437,4,11.219131,9.161527,1.555492,621.855976,11.185173,false,64.361,2|4|8|16,116581,73,1597,1214,2.088962
fbm_terrain,17,26.218280313,930,956,-26,0.027197,false,4,false,true,306.967718,26.218280,0.085410546,901.843081,0.25,1,5,1.000000000,4096,0.10,23,1,4913,37.496147,27.347331,true,316204,24,35.457497,7.888211113,0.828390,0.051255,6,907,1.531106,0.021277,0.036611,5,2.579116,0.171548,4,792,460,921,4,11.219131,9.161527,1.477606,306.967718,36.463109,true,64.361,2|4|8|16,48472,73,664,470,2.034043
noise_cavity,17,17.826692955,10113,2560,7553,2.950391,false,4,false,true,808.880370,285.227087,0.352619618,901.843081,0.25,1,5,0.250000000,4096,0.10,23,1,4913,11.219131,7.571567,true,316204,24,35.457497,6.195843752,0.907465,0.016797,6,2517,1.388339,0.080142,0.051953,5,2.579116,0.185156,4,2086,1213,2427,4,11.219131,9.161527,1.556108,50.555023,8.975305,false,64.361,2|4|8|16,108259,73,1483,1123,2.279608
sphere,33,0.713587763,1619,2312,-693,0.299740,true,5,false,true,800.315509,45.669617,0.057064516,901.843081,0.25,1,5,0.125000000,32768,0.10,23,1,35937,58.968646,39.002245,true,2462893,24,35.457497,0.003464624,0.276592,0.040225,6,2405,1.449428,0.034483,0.038495,5,2.579116,0.107266,4,2064,1200,2401,4,11.219131,9.161527,1.502407,12.504930,50.624467,false,68.534,2|4|8|16|32,109792,73,1504,1160,1.993103
torus,33,0.789376781,1791,2256,-465,0.206117,true,5,false,true,750.473985,50.520114,0.067317609,901.843081,0.25,1,5,0.125000000,32768,0.10,23,1,35937,51.726674,39.864171,true,2462893,24,35.457497,0.018007431,0.373204,0.029255,6,2190,1.503050,0.001773,0.002216,5,2.579116,0.141844,4,1936,1126,2251,4,11.219131,9.161527,1.459008,11.726156,44.655481,true,68.534,2|4|8|16|32,113296,73,1552,1128,2.000000
box_exact,33,3.581705729,8128,2696,5432,2.014837,true,5,false,true,1420.516082,229.229167,0.161370343,901.843081,0.25,1,5,0.125000000,32768,0.10,23,1,35937,13.523736,9.161527,true,2462893,24,35.457497,0.208007812,0.507143,0.130564,6,3048,0.951767,0.576183,0.580861,5,2.579116,0.359050,4,3664,2131,4262,4,11.219131,9.161527,1.072850,22.195564,11.761156,false,68.534,2|4|8|16|32,125560,73,1720,1352,1.994083
csg_difference,33,4.227713838,9594,2768,6826,2.466040,true,5,false,true,1389.124298,270.573686,0.194780040,901.843081,0.25,1,5,0.125000000,32768,0.10,23,1,35937,11.606237,8.031163,true,2462893,24,35.457497,0.296637845,0.500621,0.127890,6,3122,0.999191,0.501441,0.505419,5,2.579116,0.294436,4,3583,2084,4167,4,11.219131,9.161527,1.123615,21.705067,10.230115,false,68.534,2|4|8|16|32,130159,73,1783,1388,1.994236
thin_plate,33,0.005861705,13,1016,-1003,0.987205,false,5,false,false,508.598409,0.375149,0.000737614,901.843081,0.25,1,5,0.125000000,32768,0.10,23,1,35937,1745.834089,3834.165400,false,2462893,24,35.457497,0.002829754,1.851035,0.023622,6,1040,1.006688,0.490234,0.501969,5,2.579116,0.291339,4,1312,763,1526,4,11.219131,9.161527,1.022418,7.946850,2708.256544,false,68.534,2|4|8|16|32,50224,73,688,512,1.984375
gyroid,33,180.000079158,33345,10632,22713,2.136287,true,5,false,true,3400.633532,940.408577,0.276539229,901.843081,0.25,1,5,0.437500000,32768,0.10,23,1,35937,13.981466,8.479293,true,2462893,24,35.457497,6.410892990,0.436522,0.008183,6,10545,1.540889,0.026527,0.040444,5,2.579116,0.175038,4,8771,5101,10202,4,11.219131,9.161527,1.550513,650.902512,11.305724,false,68.534,2|4|8|16|32,505452,73,6924,5240,2.029008
fbm_terrain,33,32.433241698,4600,3946,654,0.165737,false,5,false,true,1300.545765,129.732967,0.099752712,901.843081,0.25,1,5,0.500000000,32768,0.10,23,1,35937,37.496147,27.347331,true,2462893,24,35.457497,6.214961385,0.787880,0.003548,6,3932,1.505522,0.003575,0.011151,5,2.579116,0.150025,4,3354,1951,3902,4,11.219131,9.161527,1.511723,325.136441,30.416324,true,68.534,2|4|8|16|32,197392,73,2704,1958,2.015322
