# experiment P-159 (R-159)
# hypothesis: EVERY NUMBER IN THIS LEDGER IS A NUMERATOR. M-12's constant, F-007's 13-15%, x42's ratio -- each says did this help and none says how much is left. Information-based complexity answers the second, and field evaluation is this crate's dominant cost, so the bound is denominated in the currency actually spent (Krieg & Ullrich, arXiv:2602.02066, acquired and indexed this session). (C1) The n-th minimal error rate for a stated regularity class is established from the literature and written down with all its hypotheses, and the class our fields plausibly belong to is named. (C2) The measured extractor error is compared against it, and the answer is stated as a ratio. (C3) IF THE MINIMAL RATE IS ALREADY Theta(h^2), MARCHING CUBES IS ORDER-OPTIMAL AND ONLY THE CONSTANT IS IN PLAY -- which would cap P-157 and much of Group D's ambition at 'a better constant', and is the most valuable single sentence this phase could produce. SHARE: none -- this is a denominator, not a saving.
# falsified by: C1 by no rate being available for any class our fields belong to, which would say IBC does not reach this problem and should be closed out. C2 by a ratio that is not computable because the class assumptions are unverifiable on procedural fields. C3 is not falsifiable -- it is a branch, and both branches are recorded. VACUITY CONTROL: the class membership must be argued from a measured property of each field -- a regularity estimate, reported as a column -- not assumed, or the whole comparison is against a class we merely hope applies.
# commit 807ba99 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:00Z
field_class,regularity,n_samples,minimal_error_rate,measured_error_rate,ratio,order_optimal,constant_gap,class_assumptions,c1_holds,c2_holds,c3_holds,arm,cell_sizes,constant_gap_coarsest,difference_ladder_below_floor,difference_ladder_below_floor_median,error_coarsest,error_falls,error_finest,error_functional,error_span,errors,extractor,field,field_in_pinned_class,fit_r2,fit_r2_h,grad_floor_vertices,grad_max,h_finest,is_control,ladder_points,max_difference_order,measured_h_exponent,minimal_error_finest,minimal_h_exponent,n_samples_ladder,probe_cell_size,probe_count,probe_max_abs_value,probe_max_distance,regularity_median,resolutions,s_pinned,scatter_median_distance,seminorm_pinned,slope_order1,slope_order2,slope_order3,slope_order4,triangles_finest,vertices_finest,wall_seconds
W_inf^2_unit_ball_on_bounded_convex_D_in_R3,3.906886,274625,0.666667,0.680105,1.020157,true,7.252731e0,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^2_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=3.9069|field_in_class=true,true,true,true,pinned_w2,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,6.856280e0,[false|false|false|false|false],[false|false|false|false|false],2.169703e-2,true,1.434476e-3,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,1.512540e1,2.169703e-2|1.011092e-2|5.589841e-3|2.461828e-3|1.434476e-3,marching_cubes_defaults_refinement_0,sphere,true,0.999765,0.999743,0,1.000000e0,6.250000e-2,false,5,4,1.974952,1.977843e-4,2.000000,4913|15625|35937|117649|274625,6.250000e-2,4758,4.578763e-4,4.578763e-4,3.963518,17|25|33|49|65,2,4.093906e0,9.994508e-1,1.000000,1.990151,2.984040,3.906886,9512,4758,0.012154
W_inf^4_unit_ball_on_bounded_convex_D_in_R3,3.906886,274625,1.333333,0.680105,0.510078,false,6.156696e3,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^4_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=3.9069|field_in_class=true,true,true,true,measured_max,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,3.637598e2,[false|false|false|false|false],[false|false|false|false|false],2.169703e-2,true,1.434476e-3,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,1.512540e1,2.169703e-2|1.011092e-2|5.589841e-3|2.461828e-3|1.434476e-3,marching_cubes_defaults_refinement_0,sphere,true,0.999765,0.999743,0,1.000000e0,6.250000e-2,false,5,4,1.974952,2.329944e-7,4.000000,4913|15625|35937|117649|274625,6.250000e-2,4758,4.578763e-4,4.578763e-4,3.963518,17|25|33|49|65,4,4.093906e0,2.974781e0,1.000000,1.990151,2.984040,3.906886,9512,4758,0.012154
W_inf^2_unit_ball_on_bounded_convex_D_in_R3,4.049774,274625,0.666667,0.660894,0.991341,true,6.263480e0,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^2_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=4.0498|field_in_class=true,true,true,true,pinned_w2,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,5.358074e0,[false|false|false|false|false],[false|false|false|false|false],5.600670e-2,true,4.091918e-3,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,1.368715e1,5.600670e-2|2.895508e-2|1.476637e-2|6.934079e-3|4.091918e-3,marching_cubes_defaults_refinement_0,torus,true,0.997896,0.997765,0,1.000000e0,6.250000e-2,false,5,4,1.919062,6.532979e-4,2.000000,4913|15625|35937|117649|274625,6.250000e-2,4208,1.456589e-3,1.456589e-3,3.886148,17|25|33|49|65,2,4.058237e0,3.301270e0,1.000000,1.909427,2.900719,4.049774,8416,4208,0.015147
W_inf^4_unit_ball_on_bounded_convex_D_in_R3,4.049774,274625,1.333333,0.660894,0.495670,false,5.194774e2,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^4_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=4.0498|field_in_class=true,true,true,true,measured_max,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,2.777408e1,[false|false|false|false|false],[false|false|false|false|false],5.600670e-2,true,4.091918e-3,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,1.368715e1,5.600670e-2|2.895508e-2|1.476637e-2|6.934079e-3|4.091918e-3,marching_cubes_defaults_refinement_0,torus,true,0.997896,0.997765,0,1.000000e0,6.250000e-2,false,5,4,1.919062,7.876990e-6,4.000000,4913|15625|35937|117649|274625,6.250000e-2,4208,1.456589e-3,1.456589e-3,3.886148,17|25|33|49|65,4,4.058237e0,1.005703e2,1.000000,1.909427,2.900719,4.049774,8416,4208,0.015147
W_inf^2_unit_ball_on_bounded_convex_D_in_R3,1.317836,274625,0.666667,0.344354,0.516531,false,NaN,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^2_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=1.3178|field_in_class=false,true,false,true,pinned_w2,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,NaN,[false|false|true|false|false],[false|true|true|true|true],1.666667e-1,true,4.166667e-2,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,4.000000e0,1.666667e-1|1.111111e-1|8.333333e-2|5.555556e-2|4.166667e-2,marching_cubes_defaults_refinement_0,box_exact,false,0.999957,1.000000,0,1.000000e0,6.250000e-2,false,5,4,1.000000,NaN,2.000000,4913|15625|35937|117649|274625,6.250000e-2,5766,0.000000e0,0.000000e0,NaN,17|25|33|49|65,2,3.727066e0,0.000000e0,1.000000,NaN,1.401939,1.317836,11528,5766,0.014743
W_inf^1_unit_ball_on_bounded_convex_D_in_R3,1.317836,274625,0.333333,0.344354,1.033062,true,4.188790e0,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^1_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=1.3178|field_in_class=true,true,true,true,measured_max,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,4.188790e0,[false|false|true|false|false],[false|true|true|true|true],1.666667e-1,true,4.166667e-2,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,4.000000e0,1.666667e-1|1.111111e-1|8.333333e-2|5.555556e-2|4.166667e-2,marching_cubes_defaults_refinement_0,box_exact,true,0.999957,1.000000,0,1.000000e0,6.250000e-2,false,5,4,1.000000,9.947184e-3,1.000000,4913|15625|35937|117649|274625,6.250000e-2,5766,0.000000e0,0.000000e0,NaN,17|25|33|49|65,1,3.727066e0,1.000000e0,1.000000,NaN,1.401939,1.317836,11528,5766,0.014743
W_inf^2_unit_ball_on_bounded_convex_D_in_R3,1.387688,274625,0.666667,0.344354,0.516531,false,1.320348e1,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^2_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=1.3877|field_in_class=false,true,false,true,pinned_w2,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,3.300870e0,[false|false|false|false|false],[false|true|true|true|true],1.666667e-1,true,4.166667e-2,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,4.000000e0,1.666667e-1|1.111111e-1|8.333333e-2|5.555556e-2|4.166667e-2,marching_cubes_defaults_refinement_0,csg_difference,false,0.999957,1.000000,0,1.000000e0,6.250000e-2,false,5,4,1.000000,3.155734e-3,2.000000,4913|15625|35937|117649|274625,6.250000e-2,6012,6.296937e-4,6.296937e-4,NaN,17|25|33|49|65,2,3.727066e0,1.594667e1,1.000000,1.163881,1.062360,1.387688,12020,6012,0.018843
W_inf^1_unit_ball_on_bounded_convex_D_in_R3,1.387688,274625,0.333333,0.344354,1.033062,true,4.188790e0,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^1_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=1.3877|field_in_class=true,true,true,true,measured_max,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,4.188790e0,[false|false|false|false|false],[false|true|true|true|true],1.666667e-1,true,4.166667e-2,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,4.000000e0,1.666667e-1|1.111111e-1|8.333333e-2|5.555556e-2|4.166667e-2,marching_cubes_defaults_refinement_0,csg_difference,true,0.999957,1.000000,0,1.000000e0,6.250000e-2,false,5,4,1.000000,9.947184e-3,1.000000,4913|15625|35937|117649|274625,6.250000e-2,6012,6.296937e-4,6.296937e-4,NaN,17|25|33|49|65,1,3.727066e0,1.000000e0,1.000000,1.163881,1.062360,1.387688,12020,6012,0.018843
W_inf^2_unit_ball_on_bounded_convex_D_in_R3,1.198559,274625,0.666667,-0.000000,-0.000000,false,2.467401e0,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^2_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=1.1986|field_in_class=false,true,false,true,pinned_w2,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,1.542126e-1,[false|false|false|false|false],[false|true|true|true|true],1.250000e-2,false,1.250000e-2,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,1.000000e0,1.250000e-2|1.250000e-2|1.250000e-2|1.250000e-2|1.250000e-2,marching_cubes_defaults_refinement_0,thin_plate,false,0.000000,0.000000,0,1.000000e0,6.250000e-2,false,5,4,0.000000,5.066059e-3,2.000000,4913|15625|35937|117649|274625,6.250000e-2,2046,3.469447e-18,3.469447e-18,NaN,17|25|33|49|65,2,4.211297e0,2.560000e1,0.826271,1.122770,1.140833,1.198559,4088,2046,0.009147
W_inf^1_unit_ball_on_bounded_convex_D_in_R3,1.198559,274625,0.333333,-0.000000,-0.000000,false,1.795196e0,source=KriegUllrich_arXiv2602.02066|thm6.10_p93|prop6.11_p94|prop2.4_p16|gn_def_p13|crosscheck=BonitoCanutoNochettoVeeser_10.1017-s0962492924000011_p67|class=W_inf^1_unit_ball|s_integer=true|s_gt_d_over_q=true|d=3|p=inf|q=inf|domain=bounded_convex|information=n_function_values|adaptive=no_by_thm9.3|UNVERIFIED_implied_constants_absent_from_source|UNVERIFIED_error_is_Lp_of_f_not_of_level_set|level_set_reduction=derived_here_not_in_source|explicit_floor=own_fooling_function_sin_product|seminorm=pure_axis_derivatives_only_so_underestimated|regularity_probed_to_order=4|regularity_at_benched_h_only|s_measured=1.1986|field_in_class=true,true,false,true,measured_max,2.500000e-1|1.666667e-1|1.250000e-1|8.333333e-2|6.250000e-2,4.487990e-1,[false|false|false|false|false],[false|true|true|true|true],1.250000e-2,false,1.250000e-2,max_abs_f_over_grad_norm_on_vertices_edge_midpoints_centroids,1.000000e0,1.250000e-2|1.250000e-2|1.250000e-2|1.250000e-2|1.250000e-2,marching_cubes_defaults_refinement_0,thin_plate,true,0.000000,0.000000,0,1.000000e0,6.250000e-2,false,5,4,0.000000,6.963029e-3,1.000000,4913|15625|35937|117649|274625,6.250000e-2,2046,3.469447e-18,3.469447e-18,NaN,17|25|33|49|65,1,4.211297e0,7.000000e-1,0.826271,1.122770,1.140833,1.198559,4088,2046,0.009147
