# experiment P-131 (R-131)
# hypothesis: roots() treats discriminant == 0 as 'a double root is one intersection point', which is correct arithmetic about the quadratic and may be the wrong model of the configuration: de Silva & Lim Prop 7.3 records that tensors on Delta = 0 are generically rank 3, with border rank 2 -- the W-state is the canonical example, Delta = 0 exactly with real rank 3. (C1) The discriminant == 0 branch fires on at least one reference field at f64, and the count is reported per field rather than assumed zero. (C2) On the cells where it fires, the true configuration is classified -- rank 1, 2, or 3 -- and at least one is not the tangential-touch case the comment describes. (C3) Correcting the classification changes at least one triangle on at least one field, or provably changes none, and which of those is true is stated as the result. SHARE: C3 moves only the cells C1 counts, which is why C1 is reported first and separately.
# falsified by: C1 by the branch never firing on any field at any resolution, which retires the row and is worth the afternoon. C2 by every hit being a genuine tangency, which would vindicate the comment. C3 by no mesh change, which would make this a documentation fix and should be recorded as one. VACUITY CONTROL: a synthetic W-state cell must be added to the fixture and must reach the branch, or C2 cannot distinguish 'no such cells exist' from 'the fixture has none'.
# commit 277ce7b on amd-ryzen-9-5900x-12-core at 2026-08-30T14:08:40Z
field,resolution,discriminant_zero_hits,a_zero_hits,double_root_hits,border_rank_two,true_rank_three,w_state_like,roots_reported,roots_true,mesh_delta_triangles,c1_holds,c2_holds,c3_holds,a_zero_linear_hits,a_zero_no_root_hits,bisep_u_branch_hits,bisep_v_branch_hits,bisep_w_branch_hits,border_rank_two_total,branch_hits_total,branch_rank_one_hits,branch_rank_one_total,branch_rank_three_hits,branch_rank_two_hits,branch_rank_two_total,branch_rank_zero_hits,branch_rank_zero_total,c1_any_reference_field,c1_reference_field_hits_total,c2_global,c3_any_arm_changed,c3_mesh_changed,c3_provably_none,cayley_terms,cayley_total_degree,cells,class_disagreements,closest_nonzero_disc_rel,delta_negative_cells,delta_zero_cells,disc_negative_cells,disc_within_one_ulp,entry_bound_violations,exact_arithmetic,exact_sign_disagreements,fan_tunnel_cross_checks,fan_tunnel_cross_checks_total,fan_tunnel_disagreements,gl2_generators,hexagon_control_attempts,hexagon_control_cells,hexagon_control_cross_checks,hexagon_gained,hits_all_coords_inside,hits_trilinear_eligible,local_rank_anomalies,m1_triangles,m2_separate_disks,m2_triangles,max_patch_triangles_seen,mirror_coordinate_disagreements,mirror_hexagon_disagreements,mirror_interior_disagreements,mirror_mask_disagreements,mirror_u_disagreements,rank_one_reachable_on_branch,regular_anomalies,resolutions,sampled_cells_per_stratum,seed,symbolic_identity_holds,true_rank_three_total,two_root_cells,w_orbit_cells,w_state_a,w_state_b,w_state_border_rank,w_state_branch,w_state_c,w_state_corner,w_state_delta_i128,w_state_disc_f64,w_state_double_root,w_state_local_ranks,w_state_rank,w_state_regular_pairings,w_state_repo_delta_i128,wall_ns
sphere,33,0,0,0,0,0,0,65536,65536,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,4.801743e-1,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,32768,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
sphere,65,0,0,0,0,0,0,524288,524288,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,5.592782e-1,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,262144,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
sphere,129,0,0,0,0,0,0,4194304,4194304,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,6.113797e-1,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,2097152,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
torus,33,0,0,0,0,0,0,65536,65536,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,1.522006e-2,0,0,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,32768,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
torus,65,0,0,0,0,0,0,523872,523872,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,3.684299e-2,208,0,208,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,261936,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
torus,129,0,0,0,0,0,0,4189456,4189456,0,true,true,true,0,0,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,8.666671e-3,2424,0,2424,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,2094728,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
box_exact,33,0,28672,0,0,0,0,8248,8248,0,true,true,true,56,28616,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,32768,0,1.203212e0,0,28616,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,4096,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
box_exact,65,0,229376,0,0,0,0,65656,65656,0,true,true,true,120,229256,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,262144,0,1.203212e0,0,229256,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,32768,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
box_exact,129,0,1835008,0,0,0,0,524536,524536,0,true,true,true,248,1834760,1493,0,0,3858,3858,0,0,0,0,1636,0,0,true,143,true,true,false,true,12,4,2097152,0,1.203212e0,0,1834760,0,0,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,262144,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
csg_difference,33,17,27206,0,17,0,0,11268,11285,0,true,true,true,389,26817,1493,0,0,3858,3858,0,0,0,17,1636,0,0,true,143,true,true,false,true,12,4,32768,0,1.282738e-16,114,26834,114,2,0,false,0,0,71,0,40,112290,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,33|65|129,2048,0x0000000000000131,true,2222,5431,2816,1,-2,2,DiscZero,1,0|1|1|0|1|0|0|0,0,0,1,2|2|2,3,3,0,2438302141
