# experiment P-22 (T-026)
# hypothesis: Two clauses about Grosso & Zint's mean-ratio triangle quality, q = 4*sqrt(3)*A / sum(l_i^2). (1) `marching_cubes` and `marching_cubes+decider` measure the IDENTICAL mean ratio on every reference field, because both place their vertices at the root of the interpolant along a grid edge and a face rule changes which crossings are joined rather than where they are. That is the paper's own explanation for its MC and TMC columns agreeing to two decimals on all seven of its rows. (2) This crate's Marching Cubes lands inside 0.65 to 0.71 on a smooth analytic field, the band their MC occupies, whose gen2 figure is resolution-independent at 64, 128 and 256 cubed.
# falsified by: The two Marching Cubes entries differing at all, which would mean the face rule moves geometry and not only connectivity -- and would contradict the mechanism the paper states for its own two columns. Or a mean ratio outside 0.65-0.71 on a smooth analytic field, which would mean the metric is not implementation-independent and the published baseline cannot be compared against at all. The second is a real possibility rather than a formality: their MC is somebody else's code measured on somebody else's fields, and every cross-source comparison this repo has attempted so far has needed an amendment.
# commit f4c04be (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-17T01:23:51Z
field,extractor,samples_per_axis,mean_ratio,irregular_vertices,referenced_vertices,triangles,boundary_edges,degenerate_triangles
sphere,marching_cubes,17,0.778525947,148,270,536,0,0
sphere,marching_cubes+decider,17,0.778525947,148,270,536,0,0
sphere,marching_tetrahedra,17,0.703442828,246,830,1656,0,36
sphere,surface_nets,17,0.819337881,96,272,540,0,0
sphere,dual_contouring,17,0.821582349,96,272,540,0,0
sphere,manifold_dual_contouring,17,0.821582349,96,272,540,0,0
sphere,subgrid_marching_tetrahedra,17,0.711334830,276,812,1620,0,0
sphere,marching_cubes,25,0.692040704,356,654,1304,0,96
sphere,marching_cubes+decider,25,0.692040704,356,654,1304,0,96
sphere,marching_tetrahedra,25,0.646522393,618,1994,3984,0,324
sphere,surface_nets,25,0.811746352,258,656,1308,0,0
sphere,dual_contouring,25,0.809770351,258,656,1308,0,0
sphere,manifold_dual_contouring,25,0.809770351,258,656,1308,0,0
sphere,subgrid_marching_tetrahedra,25,0.671407746,616,1922,3840,0,180
sphere,marching_cubes,33,0.713053387,604,1158,2312,0,0
sphere,marching_cubes+decider,33,0.713053387,604,1158,2312,0,0
sphere,marching_tetrahedra,33,0.672223451,1134,3518,7032,0,36
sphere,surface_nets,33,0.809907423,402,1160,2316,0,0
sphere,dual_contouring,33,0.814508289,402,1160,2316,0,0
sphere,manifold_dual_contouring,33,0.814508289,402,1160,2316,0,0
sphere,subgrid_marching_tetrahedra,33,0.673812158,1164,3500,6996,0,0
torus,marching_cubes,17,0.703893459,178,328,656,0,0
torus,marching_cubes+decider,17,0.703893459,178,328,656,0,0
torus,marching_tetrahedra,17,0.653267891,420,912,1824,0,0
torus,surface_nets,17,0.767329895,162,328,656,0,0
torus,dual_contouring,17,0.647418689,162,328,656,0,0
torus,manifold_dual_contouring,17,0.647418689,162,328,656,0,0
torus,subgrid_marching_tetrahedra,17,0.654365637,420,912,1824,0,0
torus,marching_cubes,25,0.751019284,278,544,1088,0,0
torus,marching_cubes+decider,25,0.751019284,278,544,1088,0,0
torus,marching_tetrahedra,25,0.710461199,520,1724,3448,0,0
torus,surface_nets,25,0.822009147,192,544,1088,0,0
torus,dual_contouring,25,0.783875695,192,544,1088,0,0
torus,manifold_dual_contouring,25,0.783875695,192,544,1088,0,0
torus,subgrid_marching_tetrahedra,25,0.691390112,544,1760,3520,0,0
torus,marching_cubes,33,0.688365169,643,1128,2256,0,0
torus,marching_cubes+decider,33,0.688365169,643,1128,2256,0,0
torus,marching_tetrahedra,33,0.661523198,1180,3424,6848,0,0
torus,surface_nets,33,0.802758986,402,1128,2256,0,0
torus,dual_contouring,33,0.776262556,402,1128,2256,0,0
torus,manifold_dual_contouring,33,0.776262556,402,1128,2256,0,0
torus,subgrid_marching_tetrahedra,33,0.665432133,1228,3464,6928,0,0
box_exact,marching_cubes,17,0.855648086,18,294,584,0,0
box_exact,marching_cubes+decider,17,0.855648086,18,294,584,0,0
box_exact,marching_tetrahedra,17,0.264564400,150,1094,2184,0,1512
box_exact,surface_nets,17,0.862245521,6,296,588,0,0
box_exact,dual_contouring,17,0.839042140,6,296,588,0,0
box_exact,manifold_dual_contouring,17,0.839042140,6,296,588,0,0
box_exact,subgrid_marching_tetrahedra,17,0.859834301,6,338,672,0,0
box_exact,marching_cubes,25,0.858556398,18,726,1448,0,0
box_exact,marching_cubes+decider,25,0.858556398,18,726,1448,0,0
box_exact,marching_tetrahedra,25,0.246256572,246,2774,5544,0,3960
box_exact,surface_nets,25,0.863785625,6,728,1452,0,0
box_exact,dual_contouring,25,0.846356716,6,728,1452,0,0
box_exact,manifold_dual_contouring,25,0.846356716,6,728,1452,0,0
box_exact,subgrid_marching_tetrahedra,25,0.861898002,6,794,1584,0,0
box_exact,marching_cubes,33,0.860250223,18,1350,2696,0,0
box_exact,marching_cubes+decider,33,0.860250223,18,1350,2696,0,0
box_exact,marching_tetrahedra,33,0.238049614,342,5222,10440,0,7560
box_exact,surface_nets,33,0.864439571,6,1352,2700,0,0
box_exact,dual_contouring,33,0.850746993,6,1352,2700,0,0
box_exact,manifold_dual_contouring,33,0.850746993,6,1352,2700,0,0
box_exact,subgrid_marching_tetrahedra,33,0.862929852,6,1442,2880,0,0
csg_difference,marching_cubes,17,0.837270829,52,294,584,0,0
csg_difference,marching_cubes+decider,17,0.837270829,52,294,584,0,0
csg_difference,marching_tetrahedra,17,0.344556747,150,1094,2184,0,1242
csg_difference,surface_nets,17,0.866474308,6,296,588,0,0
csg_difference,dual_contouring,17,0.829398527,6,296,588,0,0
csg_difference,manifold_dual_contouring,17,0.829398527,6,296,588,0,0
csg_difference,subgrid_marching_tetrahedra,17,0.802069660,69,482,960,0,0
csg_difference,marching_cubes,25,0.833305846,93,738,1472,0,0
csg_difference,marching_cubes+decider,25,0.833305846,93,738,1472,0,0
csg_difference,marching_tetrahedra,25,0.314142312,282,2786,5568,0,3366
csg_difference,surface_nets,25,0.863816173,27,740,1476,0,0
csg_difference,dual_contouring,25,0.838528386,27,740,1476,0,0
csg_difference,manifold_dual_contouring,25,0.838528386,27,740,1476,0,0
csg_difference,subgrid_marching_tetrahedra,25,0.789229041,114,1118,2232,0,0
csg_difference,marching_cubes,33,0.837926146,120,1386,2768,0,0
csg_difference,marching_cubes+decider,33,0.837926146,120,1386,2768,0,0
csg_difference,marching_tetrahedra,33,0.307553405,444,5288,10572,0,6474
csg_difference,surface_nets,33,0.859759055,36,1388,2772,0,0
csg_difference,dual_contouring,33,0.841755413,36,1388,2772,0,0
csg_difference,manifold_dual_contouring,33,0.841755413,36,1388,2772,0,0
csg_difference,subgrid_marching_tetrahedra,33,0.788648116,237,2087,4170,0,0
thin_plate,marching_cubes,17,0.866059932,6,126,248,0,0
thin_plate,marching_cubes+decider,17,0.866059932,6,126,248,0,0
thin_plate,marching_tetrahedra,17,0.476828774,102,446,888,0,48
thin_plate,surface_nets,17,0.691525982,6,128,252,0,0
thin_plate,dual_contouring,17,0.687040657,6,128,252,0,0
thin_plate,manifold_dual_contouring,17,0.687040657,6,128,252,0,0
thin_plate,subgrid_marching_tetrahedra,17,0.504076133,78,422,840,0,0
thin_plate,marching_cubes,25,0.866058462,6,286,568,0,0
thin_plate,marching_cubes+decider,25,0.866058462,6,286,568,0,0
thin_plate,marching_tetrahedra,25,0.498511887,166,1054,2104,0,80
thin_plate,surface_nets,25,0.752091744,6,288,572,0,0
thin_plate,dual_contouring,25,0.752851677,6,288,572,0,0
thin_plate,manifold_dual_contouring,25,0.752851677,6,288,572,0,0
thin_plate,subgrid_marching_tetrahedra,25,0.503607386,136,1104,2204,0,0
thin_plate,marching_cubes,33,0.866056631,6,510,1016,0,0
thin_plate,marching_cubes+decider,33,0.866056631,6,510,1016,0,0
thin_plate,marching_tetrahedra,33,0.522748478,230,1918,3832,0,112
thin_plate,surface_nets,33,0.783981221,6,512,1020,0,0
thin_plate,dual_contouring,33,0.788101769,6,512,1020,0,0
thin_plate,manifold_dual_contouring,33,0.788101769,6,512,1020,0,0
thin_plate,subgrid_marching_tetrahedra,33,0.529373753,184,1984,3964,0,0
gyroid,marching_cubes,17,0.701216775,882,1260,2536,0,4
gyroid,marching_cubes+decider,17,0.698182054,883,1260,2536,0,4
gyroid,marching_tetrahedra,17,0.660623487,1623,3514,7044,0,12
gyroid,surface_nets,17,0.800361649,619,1214,2520,0,0
gyroid,dual_contouring,17,0.720442396,619,1214,2520,0,0
gyroid,manifold_dual_contouring,17,0.717337653,639,1252,2520,0,0
gyroid,subgrid_marching_tetrahedra,17,0.666008891,1867,4014,8076,0,6
gyroid,marching_cubes,25,0.682374718,2023,2940,5884,0,4
gyroid,marching_cubes+decider,25,0.684788484,2022,2946,5928,0,4
gyroid,marching_tetrahedra,25,0.646056315,3498,8362,16728,0,12
gyroid,surface_nets,25,0.788247689,1420,2879,5880,0,0
gyroid,dual_contouring,25,0.721755409,1420,2879,5880,0,0
gyroid,manifold_dual_contouring,25,0.723854461,1461,2938,5880,0,0
gyroid,subgrid_marching_tetrahedra,25,0.645897565,3865,9096,18240,0,0
gyroid,marching_cubes,33,0.676944986,3648,5292,10632,0,16
gyroid,marching_cubes+decider,33,0.676758449,3653,5292,10632,0,16
gyroid,marching_tetrahedra,33,0.649682462,6048,15196,30492,0,66
gyroid,surface_nets,33,0.796670712,2611,5240,10584,0,0
gyroid,dual_contouring,33,0.740051973,2611,5240,10584,0,0
gyroid,manifold_dual_contouring,33,0.742595005,2616,5268,10584,0,0
gyroid,subgrid_marching_tetrahedra,33,0.653637680,6484,16158,32364,0,60
fbm_terrain,marching_cubes,17,0.678037956,378,525,956,92,0
fbm_terrain,marching_cubes+decider,17,0.679406669,379,525,956,92,0
fbm_terrain,marching_tetrahedra,17,0.639308325,686,1499,2836,160,0
fbm_terrain,surface_nets,17,0.755871157,241,470,866,88,0
fbm_terrain,dual_contouring,17,0.591105522,241,470,866,88,0
fbm_terrain,manifold_dual_contouring,17,0.591934114,245,478,866,88,0
fbm_terrain,subgrid_marching_tetrahedra,17,0.643998232,956,1758,3340,174,8
fbm_terrain,marching_cubes,25,0.699286955,813,1156,2172,138,2
fbm_terrain,marching_cubes+decider,25,0.700160780,812,1156,2172,138,2
fbm_terrain,marching_tetrahedra,25,0.657733101,1445,3295,6352,236,18
fbm_terrain,surface_nets,25,0.775648938,585,1076,2036,132,0
fbm_terrain,dual_contouring,25,0.602216126,585,1076,2036,132,0
fbm_terrain,manifold_dual_contouring,25,0.601890001,587,1085,2036,132,0
fbm_terrain,subgrid_marching_tetrahedra,25,0.651086460,1868,3730,7196,262,24
fbm_terrain,marching_cubes,33,0.695194536,1431,2069,3946,190,3
fbm_terrain,marching_cubes+decider,33,0.696211659,1422,2069,3946,190,3
fbm_terrain,marching_tetrahedra,33,0.658827312,2516,5935,11544,324,15
fbm_terrain,surface_nets,33,0.779093891,967,1957,3758,181,2
fbm_terrain,dual_contouring,33,0.607942395,967,1957,3758,181,1
fbm_terrain,manifold_dual_contouring,33,0.608835229,979,1972,3758,184,1
fbm_terrain,subgrid_marching_tetrahedra,33,0.655955827,3178,6537,12736,336,15
noise_cavity,marching_cubes,17,0.681013127,930,1250,2560,0,55
noise_cavity,marching_cubes+decider,17,0.710248390,913,1252,2380,0,62
noise_cavity,marching_tetrahedra,17,0.621557939,1737,3230,6488,0,221
noise_cavity,surface_nets,17,0.757229306,669,1123,2500,0,0
noise_cavity,dual_contouring,17,0.622801415,669,1123,2500,0,0
noise_cavity,manifold_dual_contouring,17,0.613878252,717,1220,2500,0,0
noise_cavity,subgrid_marching_tetrahedra,17,0.647869458,3602,5553,11682,0,18
noise_cavity,marching_cubes,25,0.686213219,2443,3430,7016,0,266
noise_cavity,marching_cubes+decider,25,0.708890504,2463,3439,6734,0,272
noise_cavity,marching_tetrahedra,25,0.638679874,4776,9088,18236,0,860
noise_cavity,surface_nets,25,0.750018080,1800,3168,6860,0,4
noise_cavity,dual_contouring,25,0.614676332,1800,3168,6860,0,2
noise_cavity,manifold_dual_contouring,25,0.609567321,1858,3352,6860,0,4
noise_cavity,subgrid_marching_tetrahedra,25,0.655889165,7205,12226,25088,0,495
noise_cavity,marching_cubes,33,0.697799399,4420,6522,13236,0,69
noise_cavity,marching_cubes+decider,33,0.707281944,4407,6536,13052,0,71
noise_cavity,marching_tetrahedra,33,0.651045509,8888,17862,35832,0,232
noise_cavity,surface_nets,33,0.767400347,3257,6176,13044,0,0
noise_cavity,dual_contouring,33,0.624388143,3257,6176,13044,0,6
noise_cavity,manifold_dual_contouring,33,0.622957106,3320,6426,13044,0,6
noise_cavity,subgrid_marching_tetrahedra,33,0.658116542,11857,22241,45082,0,36
