# experiment P-52 (R-047)
# hypothesis: A third VertexRule that moves each dual vertex toward the tangent points its cell's samples imply, using only Eq. (8) of Sellan, Batty & Stein -- t_i = p_i + sigma_i |s_i| (c_i - p_i) / ||c_i - p_i||, one normalize and one fma per sample, allocation-free and Real-generic -- iterated TWICE and clamped to the cell, against Qef through the identical classification and quad walk X-002 built. THIS IS NOT THEIR ALGORITHM, which is a global sparse solve with per-iteration remeshing over hundreds of iterations, and whose Fig. 17 ablation measures clamping away far spheres as progressive detail loss; none of their reported accuracy is claimed here and the baseline is this crate's own. (C1) On box_exact and thin_plate at 65^3 the symmetric Hausdorff improves by at least 1.25x over Qef. (C2) On sphere and torus it is within +/-10% of Qef. (C3) Vertex, triangle and non-manifold-edge counts are IDENTICAL to Qef on every field, which is what says the rule changed placement and nothing else -- M-237 established that property for the Qef/Centroid swap, with byte-identical index buffers and all 680 positions different. (C4) The mechanism M-315 predicts is visible: the vertex term of the Hausdorff improves while the CENTROID term worsens, on at least 3 of the 4 fields. M-315 measured that Dual Contouring's Hausdorff is vertex-dominated on 8 of 8 rows AND that its centroid error is already BETTER than the perfect-placement floor by 2.9-3.6x on sphere, because the QEF minimises distance to tangent planes and buys better-centred facets at the cost of worse-placed vertices. A rule that pulls vertices onto spheres spends exactly that trade in reverse.
# falsified by: C1 under 1.25x, which says the tangency geometry does not survive being clamped to its cell and iterated twice -- the honest reading then being that this is offline CAD and not a chunk budget, recorded as a null with a number. Or C3 failing, which means the arm is not controlled and no number in it means anything. C4 is the clause that can teach something whatever C1 does: if the vertex term improves and the centroid term does NOT worsen, then M-315's tangent-plane trade is not what the QEF is doing and a placement rule is not zero-sum. The 1.25x bar is this crate's own: M-315 measured the ceiling on ANY placement rule at 1.5-21.5% for SMOOTH fields, which is why C1 is asked only of the two SHARP fields, where no ceiling has been measured and where M-66 recorded box_exact's worst normal error at 35.796 degrees identically at every resolution -- a corner does not soften with h, so a placement rule is the only thing that can move it.
# commit db0ca10 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T21:34:51Z
field,samples_per_axis,rule,iterations,symmetric_hausdorff,hausdorff_ratio_vs_qef,vertex_term,vertex_term_ratio_vs_qef,centroid_term,centroid_term_ratio_vs_qef,self_intersections_per_1k,vertices,triangles,non_manifold_edges,counts_identical_to_qef,ns_per_sample,cell_size,clamp_transcription_verified,field_bound_exact,mesh_to_field_max,offset_from_cell_centre_in_cells,sharp_field,sigma_negative_fraction
sphere,65,qef,0,1.093112717e-3,1.000000,1.093112717e-3,1.000000,3.381838697e-4,1.000000,0.000000,4760,9516,0,true,21.1304,0.062500000,true,true,1.093112717e-3,0.392301,false,0.000000
sphere,65,centroid,0,2.251034304e-3,0.485605,1.375344063e-3,0.794792,2.208661597e-3,0.153117,0.000000,4760,9516,0,true,7.1786,0.062500000,true,true,2.208661597e-3,0.396027,false,0.000000
sphere,65,tangency,2,1.448580531e-2,0.075461,1.448580531e-2,0.075461,1.062008127e-2,0.031844,0.000000,4760,9516,0,true,18.3732,0.062500000,true,true,1.448580531e-2,0.269116,false,0.017962
torus,65,qef,0,2.478081292e-3,1.000000,2.478081292e-3,1.000000,1.919093221e-3,1.000000,0.000000,4208,8416,0,true,22.3798,0.062500000,true,true,2.478081292e-3,0.373361,false,0.000000
torus,65,centroid,0,5.420016719e-3,0.457209,3.156708631e-3,0.785021,4.894964540e-3,0.392055,0.000000,4208,8416,0,true,9.2533,0.062500000,true,true,4.894964540e-3,0.366070,false,0.000000
torus,65,tangency,2,1.567311850e-2,0.158110,1.567311850e-2,0.158110,1.151614026e-2,0.166644,0.000000,4208,8416,0,true,19.8047,0.062500000,true,true,1.567311850e-2,0.253298,false,0.018061
box_exact,65,qef,0,7.145424124e-4,1.000000,4.125412541e-4,1.000000,2.411621759e-4,1.000000,0.000000,5768,11532,0,true,17.6960,0.062500000,true,true,4.125412541e-4,0.513152,true,0.000000
box_exact,65,centroid,0,7.216878365e-2,0.009901,4.166666667e-2,0.009901,3.472222222e-2,0.006945,0.000000,5768,11532,0,true,7.7402,0.062500000,true,true,4.166666667e-2,0.468500,true,0.000000
box_exact,65,tangency,2,4.631408774e-2,0.015428,2.673945102e-2,0.015428,2.328902508e-2,0.010355,0.000000,5768,11532,0,true,17.1300,0.062500000,true,true,2.673945102e-2,0.383211,true,0.015863
thin_plate,65,qef,0,5.892267680e-4,1.000000,8.250825083e-5,1.000000,3.268517150e-4,1.000000,0.000000,2048,4092,0,true,10.5396,0.062500000,true,true,3.268517150e-4,0.334753,true,0.000000
thin_plate,65,centroid,0,5.951190357e-2,0.009901,8.333333333e-3,0.009901,1.111111111e-2,0.029417,0.000000,2048,4092,0,true,7.0596,0.062500000,true,true,1.111111111e-2,0.312474,true,0.000000
thin_plate,65,tangency,2,5.135883796e-2,0.011473,9.985229204e-3,0.008263,8.086861587e-3,0.040418,0.000000,2048,4092,0,true,10.4440,0.062500000,true,true,9.985229204e-3,0.267302,true,0.000732
