# experiment P-21 (R-024)
# hypothesis: A freshly extracted mesh separates exactly the sample pairs the field's own sign separates. For every 6-adjacent pair of grid samples, the mesh crosses the segment between them an ODD number of times when the two samples straddle the surface and an EVEN number when they do not -- so the connected components of the air sublevel set and the components of the same samples under mesh-cut adjacency agree in count and in partition. Marching Cubes achieves this on all eight reference fields, because its vertex is the root of the interpolant along the very edge being probed. At least one dual method does not, because it places its vertex by solve.
# falsified by: Universal agreement -- every extractor sealing every field at every resolution, which would be a stronger correctness statement than this crate currently makes and is worth saying so. Separately falsified, and more interestingly, by Marching Cubes disagreeing: that would put the defect in the primal path, where the crossing is on the interpolant by construction, and would mean the failure is in triangulation rather than in vertex placement.
# commit 6c624e4 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-17T00:00:04Z
field,extractor,samples_per_axis,field_air_components,mesh_air_components,unsealed_walls,spurious_walls,mixed_regions,agrees,boundary_samples,coplanar_probes,degenerate_probes,degenerate_triangles,endpoint_crossings,field_walls,merged_crossings,mesh_walls,probes,triangles,unsealed_on_domain_face
sphere,marching_cubes,17,7,7,0,0,0,true,6,0,36,0,36,264,1488,264,13872,536,0
sphere,marching_cubes+decider,17,7,7,0,0,0,true,6,0,36,0,36,264,1488,264,13872,536,0
sphere,marching_tetrahedra,17,7,7,0,0,0,true,6,0,36,36,36,264,1818,264,13872,1656,0
sphere,surface_nets,17,7,7,0,0,0,true,6,0,36,0,0,264,66,264,13872,540,0
sphere,dual_contouring,17,7,7,0,0,0,true,6,0,36,0,0,264,30,264,13872,540,0
sphere,manifold_dual_contouring,17,7,7,0,0,0,true,6,0,36,0,0,264,30,264,13872,540,0
sphere,subgrid_marching_tetrahedra,17,7,7,0,0,0,true,6,0,36,0,36,264,1831,264,13872,1620,0
sphere,marching_cubes,25,17,17,0,0,0,true,16,0,139,68,139,576,3215,576,45000,1304,0
sphere,marching_cubes+decider,25,17,17,0,0,0,true,16,0,139,68,139,576,3215,576,45000,1304,0
sphere,marching_tetrahedra,25,17,17,0,0,0,true,16,288,138,216,138,576,3834,576,45000,3984,0
sphere,surface_nets,25,17,17,0,0,0,true,16,0,159,0,123,576,302,576,45000,1308,0
sphere,dual_contouring,25,17,17,0,0,0,true,16,0,96,0,0,618,46,618,45000,1308,0
sphere,manifold_dual_contouring,25,17,17,0,0,0,true,16,0,96,0,0,618,46,618,45000,1308,0
sphere,subgrid_marching_tetrahedra,25,17,17,0,0,0,true,16,168,145,54,145,576,3893,576,45000,3840,0
sphere,marching_cubes,33,7,7,0,0,0,true,6,0,36,0,36,1152,5928,1152,104544,2312,0
sphere,marching_cubes+decider,33,7,7,0,0,0,true,6,0,36,0,36,1152,5928,1152,104544,2312,0
sphere,marching_tetrahedra,33,7,7,0,0,0,true,6,0,36,36,36,1152,6982,1152,104544,7032,0
sphere,surface_nets,33,7,7,0,0,0,true,6,0,36,0,0,1152,186,1152,104544,2316,0
sphere,dual_contouring,33,7,7,0,0,0,true,6,0,36,0,0,1152,62,1152,104544,2316,0
sphere,manifold_dual_contouring,33,7,7,0,0,0,true,6,0,36,0,0,1152,62,1152,104544,2316,0
sphere,subgrid_marching_tetrahedra,33,7,7,0,0,0,true,6,0,36,0,36,1152,6977,1152,104544,6996,0
torus,marching_cubes,17,1,1,0,0,0,true,0,0,0,0,0,328,1640,328,13872,656,0
torus,marching_cubes+decider,17,1,1,0,0,0,true,0,0,0,0,0,328,1640,328,13872,656,0
torus,marching_tetrahedra,17,1,1,0,0,0,true,0,0,0,0,0,328,1968,328,13872,1824,0
torus,surface_nets,17,1,1,0,0,0,true,0,0,0,0,0,328,16,328,13872,656,0
torus,dual_contouring,17,1,1,0,0,0,true,0,0,0,0,0,328,8,328,13872,656,0
torus,manifold_dual_contouring,17,1,1,0,0,0,true,0,0,0,0,0,328,8,328,13872,656,0
torus,subgrid_marching_tetrahedra,17,1,1,0,0,0,true,0,0,0,0,0,328,1968,328,13872,1824,0
torus,marching_cubes,25,1,1,0,0,0,true,0,0,0,0,0,544,2471,544,45000,1088,0
torus,marching_cubes+decider,25,1,1,0,0,0,true,0,0,0,0,0,544,2471,544,45000,1088,0
torus,marching_tetrahedra,25,1,1,0,0,0,true,0,0,0,0,0,544,2819,544,45000,3448,0
torus,surface_nets,25,1,1,0,0,0,true,0,0,0,0,0,544,27,544,45000,1088,0
torus,dual_contouring,25,1,1,0,0,0,true,0,0,0,0,0,544,12,544,45000,1088,0
torus,manifold_dual_contouring,25,1,1,0,0,0,true,0,0,0,0,0,544,12,544,45000,1088,0
torus,subgrid_marching_tetrahedra,25,1,1,0,0,0,true,0,1378,0,0,0,544,2741,544,45000,3520,0
torus,marching_cubes,33,1,1,0,0,0,true,0,0,0,0,0,1128,5640,1128,104544,2256,0
torus,marching_cubes+decider,33,1,1,0,0,0,true,0,0,0,0,0,1128,5640,1128,104544,2256,0
torus,marching_tetrahedra,33,1,1,0,0,0,true,0,0,0,0,0,1128,6552,1128,104544,6848,0
torus,surface_nets,33,1,1,0,0,0,true,0,0,0,0,0,1128,92,1128,104544,2256,0
torus,dual_contouring,33,1,1,0,0,0,true,0,0,0,0,0,1128,24,1128,104544,2256,0
torus,manifold_dual_contouring,33,1,1,0,0,0,true,0,0,0,0,0,1128,24,1128,104544,2256,0
torus,subgrid_marching_tetrahedra,33,1,1,0,0,0,true,0,1712,0,0,0,1128,6504,1128,104544,6928,0
box_exact,marching_cubes,17,387,387,0,0,0,true,386,19872,1548,0,924,0,3540,0,13872,584,0
