# experiment P-166 (R-166)
# hypothesis: Greedy is provably optimal on matroids and within (1-1/e) for monotone submodular maximisation under a cardinality constraint (Nemhauser, Wolsey & Fisher; paywalled, so the statement must be sourced from a freely available restatement). Greedy meshing is a minimum-cardinality cover, not a max-weight independent set, so no matroid -- that half is registered as a negative. The LOD chunk budget is the other half: choose which chunks to refine under a fixed frame budget to minimise screen-space error. (C1) Greedy meshing is shown not to be a matroid problem, by exhibiting a counterexample to the exchange property. (C2) The LOD budget's marginal screen-space-error reduction is measured per chunk and shown to be diminishing -- or a chunk with increasing marginal returns is exhibited, which would kill the (1-1/e) guarantee outright and is the falsifier that matters. SHARE: C2 governs the LOD selection stage, whose amortised cost M-124 tracks to within one chunk.
# falsified by: C1 by the exchange property holding, which would be a much stronger result. C2 by increasing marginal returns, which closes the guarantee -- and finding one such chunk is cheaper than proving none exists, so the experiment is designed to look for it. VACUITY CONTROL: the marginal-return curve must be computed over at least 50 chunks spanning at least two LOD levels, or 'diminishing' is a claim about a handful of points.
# commit 8968839 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:31Z
problem,is_matroid,is_submodular,marginal_returns_monotone,greedy_ratio,bound_applies,violating_chunks,c1_holds,c2_holds,arm_has_chunks,arm_kind,arm_verdict,augmentation_failures,axioms,bases_complete,bases_enumerated,basis_size_ratio,budget_k,camera,cell_size,chunks_per_axis,chunks_visited,curve_chunks,disjoint_from_small,distance_order_ratio,downsample_op,downward_closed,empty_independent,f_distance_order,f_greedy,f_optimal,field,fixture_art,fixture_cells,greedy_basis,greedy_is_optimal,ground_rectangles,independent_sets,is_control,levels_spanned,max_basis,min_basis,min_basis_exact,min_basis_rects,monotone,normalized,one_minus_1_over_e,p_system_lower_bound,quads_merge_greedy,quads_merge_off,ratio_meets_nwf_bound,refinement_steps,resolution,rng_seed,share_over_distance_order,steps_total,submodular_pairs,submodular_scan_saw_it,submodular_violations,submodular_worst_slack,violating_chunks_material,wall_ns,witness_a,witness_b,witness_sees_violation,worst_chunk_coords,worst_chunk_distance,worst_chunk_gains,worst_chunk_geometric,worst_chunk_lipschitz,worst_chunk_screen,worst_chunk_violates,worst_chunk_violates_materially,worst_second_at_step,worst_second_difference
greedy_meshing/square_2x2,false,true,true,1.000000,false,0,true,false,false,c1_fixture,true,87,exhaustive,true,8,4.000000,,,,,,,0,,,,,,,,,##/##,4,1,,9,35,false,,4,1,true,2x2@0+0,,,,4.000000,,,,,,,,,,,,,,179109546,0|4,1,,,,,,,,,,,
greedy_meshing/plus,false,true,true,1.000000,false,0,true,false,false,c1_fixture,true,190,exhaustive,true,7,1.666667,,,,,,,0,,,,,,,,,.#./###/.#.,5,3,,11,72,false,,5,3,true,1x1@1+0|3x1@0+1|1x1@1+2,,,,1.666667,,,,,,,,,,,,,,179109546,1|3,4,,,,,,,,,,,
greedy_meshing/staircase,false,true,true,1.000000,false,0,true,false,false,c1_fixture,true,2331,exhaustive,true,21,2.000000,,,,,,,0,,,,,,,,,#../##./###,6,3,,15,216,false,,6,3,true,1x1@0+0|2x1@0+1|3x1@0+2,,,,2.000000,,,,,,,,,,,,,,179109546,0|3,1,,,,,,,,,,,
greedy_meshing/ring,false,true,true,1.000000,false,0,true,false,false,c1_fixture,true,certificate,witness,true,81,2.000000,,,,,,,0,,,,,,,,,###/#.#/###,8,4,,20,uncounted,false,,8,4,true,2x1@0+0|1x2@2+0|1x1@0+1|3x1@0+2,,,,2.000000,,,,,,,,,,,,,,179109546,certificate,certificate,,,,,,,,,,,
greedy_meshing/shipped@box_exact_33,false,true,true,1.000000,false,0,true,false,false,c1_shipped,true,,witness,,,256.000000,,,,,,,,,,,,,,,box_exact,,,6,,,,false,,1536,6,false,,,,,256.000000,6,1536,,,33,,,,,,,,,179109546,,,,,,,,,,,,,
greedy_meshing/shipped@sphere_33,false,true,true,1.000000,false,0,true,false,false,c1_shipped,true,,witness,,,1.943925,,,,,,,,,,,,,,,sphere,,,642,,,,false,,1248,642,false,,,,,1.943925,642,1248,,,33,,,,,,,,,179109546,,,,,,,,,,,,,
control/uniform_matroid_U3_8,true,true,true,1.000000,true,0,true,false,false,c1_control,true,0,exhaustive,,,,,,,,,,,,,true,true,,,,,,,,,,93,true,,,,,,,,,,,,,,,,,,,,,,,179109546,none,none,,,,,,,,,,,
control/knapsack_B2_w211,false,true,true,1.000000,false,0,true,false,false,c1_control,false,1,exhaustive,,,,,,,,,,,,,true,true,,,,,,,,,,5,true,,,,,,,,,,,,,,,,,,,,,,,179109546,1|2,0,,,,,,,,,,,
lod_budget/sphere@k=1,true,true,true,1.000000,true,0,true,false,true,c2_budget,true,,,,,,1,3.0000|3.0000|3.0000,0.041666667,12,1728,152,,0.785750,decimate,,,4.973338e0,6.329413e0,6.329413e0,sphere,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.214250,456,20000,false,0,0.000000e0,0,179109546,,,false,,,,,,,,,,-5.779266e-1
lod_budget/sphere@k=28,true,true,true,1.000000,true,0,true,false,true,c2_budget,true,,,,,,28,3.0000|3.0000|3.0000,0.041666667,12,1728,152,,0.445400,decimate,,,6.790377e1,1.524557e2,1.524557e2,sphere,,,,true,,,false,4,,,,,true,true,0.632121,,,,true,3,,0x5eed0166,0.554600,456,20000,false,0,0.000000e0,0,179109546,,,false,,,,,,,,,,-5.779266e-1
