# experiment P-140 (R-140)
# hypothesis: CLAUDE.md records that chi cannot be asserted on gyroid or fbm_terrain, so those fields have no topological gate beyond manifoldness. Viro's construction is a generator: prescribe the topology, get a field. That turns the oracle problem inside out. (C1) At least three patchworked fields with prescribed, non-trivial genus are added as fixtures, and every extractor in the crate reproduces the prescribed chi at sufficient resolution. (C2) The resolution at which each extractor first reproduces the prescribed chi is reported per extractor, which is a sampling-adequacy curve the crate does not currently have for any field with known topology beyond the sphere and torus. SHARE: none -- this adds test coverage, and its value is the coverage.
# falsified by: C1 by any extractor failing to converge to the prescribed chi at any resolution, which would be a defect and the point of the fixture. C2 by all extractors converging at the same resolution, which would make the curve uninformative but is still worth one line. VACUITY CONTROL: at least one prescribed field must have genus above 1, or the fixture is a sphere in disguise.
# commit 71e5474 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:28:55Z
construction,prescribed_genus,prescribed_chi,measured_chi,chi_agreement,resolution,cells,nonmanifold_edges,extractors_tested,c1_holds,c2_holds,boundary_edges,cell_size,chi_error,converged,derivation,distinct_first_correct_overall,domain_margin,duplicate_vertices,extractor,faces,feature_cells,feature_clearance,first_correct_resolution,fixture_distinct_first_correct,generators,is_control,is_manifold,measured_genus,merge_headroom,mesh_components,non_manifold_vertices,resolution_ladder,separation,solid_width,vertices,window
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes,8,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,6,inf
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes+decider,8,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,6,inf
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,marching_tetrahedra,24,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,14,inf
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,surface_nets,12,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,8,inf
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,12,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,8,inf
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,12,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,8,inf
sphere,0,2,2,true,5,64,0,7,true,true,0,1.000000,0,true,crate_expected_euler,5,1.000000,0,subgrid_marching_tetrahedra,36,2.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,20,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,marching_cubes,104,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,54,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,marching_cubes+decider,104,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,54,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,marching_tetrahedra,288,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,146,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,surface_nets,108,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,56,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,108,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,56,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,108,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,56,inf
sphere,0,2,2,true,7,216,0,7,true,true,0,0.666667,0,true,crate_expected_euler,5,1.000000,0,subgrid_marching_tetrahedra,288,3.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,146,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes,104,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,54,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes+decider,104,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,54,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,18,marching_tetrahedra,360,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,182,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,0,surface_nets,108,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,56,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,0,dual_contouring,108,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,56,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,0,manifold_dual_contouring,108,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,56,inf
sphere,0,2,2,true,9,512,0,7,true,true,0,0.500000,0,true,crate_expected_euler,5,1.000000,0,subgrid_marching_tetrahedra,324,4.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,164,inf
sphere,0,2,2,true,11,1000,0,7,true,true,0,0.400000,0,true,crate_expected_euler,5,1.000000,0,marching_cubes,248,5.000000,2.000000,5,1,0,true,true,0,inf,1,0,5|7|9|11|13|17|21|25|33|49,inf,2.000000,126,inf
