# experiment P-175 (R-175)
# hypothesis: Intrinsic triangulations improve connectivity quality while leaving every vertex where it is -- the corpus holds Gillespie, Sharp & Crane on integer coordinates at 0.677 and the intrinsic-parameterisation paper at 0.676, and intrinsic Delaunay, signpost and Soliman are zero in the repo. That property is unusually valuable here specifically: this crate commits 216 golden hashes on vertex positions, and a method that cannot move a position cannot move a hash. (C1) Intrinsic Delaunay flipping raises the minimum triangle angle materially -- at least 10 deg on the worst decile -- on at least four fields. (C2) Zero vertex positions move and zero position hashes move, asserted rather than assumed. (C3) THE HONEST FALSIFIER IS STATED AT REGISTRATION: intrinsic flips leave the extrinsic surface bit-identical, so if every downstream consumer reads extrinsic triangles, nothing measurable changes -- and whether any consumer benefits is C3's question, answered by naming one or reporting none. SHARE: C1 moves mesh quality, not cost; C3 decides whether that quality reaches anything.
# falsified by: C1 by under 10 deg. C2 by any hash movement, which would mean the implementation is not intrinsic. C3 by no consumer benefiting, which closes the row and is a likely outcome worth reaching cheaply. VACUITY CONTROL: the worst-decile angle before flipping must be below 15 deg on at least one field, or there are no slivers to fix.
# commit 320946e on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:18Z
field,resolution,slivers_before,slivers_after,min_angle_before,min_angle_after,flips,vertex_positions_moved,hashes_moved,extrinsic_geometry_identical,flip_ms,c1_holds,c2_holds,c3_holds,boundary_edges,build_ms,c1_fields,c1_run,c3_consumers_benefiting,c3_consumers_surveyed,control_hash_moved,degenerate_triangles,flip_budget,flip_budget_exhausted,flip_ms_max,flip_ms_min,flips_rejected,global_min_angle_after,global_min_angle_before,inconsistently_oriented_edges,interior_edges,min_angle_gain,min_angle_statistic,non_delaunay_after,non_delaunay_before,non_manifold_edges,p10_min_angle_after,p10_min_angle_before,short_edge_slivers_after,shortest_edge_over_cell,sliver_threshold_degrees,triangles,vertices,zero_length_edges
sphere,17,24,0,14.811958,15.534093,120,0,0,true,0.046140,false,true,false,0,0.029751,0,false,0,8,true,0,51456,false,0.051790,0.043991,0,15.213834,13.261947,0,804,0.722135,worst_decile_mean_degrees,0,112,0,18.599756,18.599756,0,0.372897,15.000000,536,270,0
sphere,25,170,93,6.670271,8.250644,313,0,0,true,0.132901,false,true,false,0,0.107101,0,false,0,8,true,40,125184,false,0.142431,0.128801,0,0.000000,0.000000,0,1956,1.580372,worst_decile_mean_degrees,0,279,0,15.919740,10.550573,42,0.000000,15.000000,1304,654,0
sphere,33,338,264,9.799998,11.174624,628,0,0,true,0.266202,false,true,false,0,0.228731,0,false,0,8,true,0,221952,false,0.287162,0.254562,0,6.745371,6.136487,0,3468,1.374626,worst_decile_mean_degrees,0,524,0,14.775256,13.652695,0,0.138462,15.000000,2312,1158,0
torus,17,72,48,9.519333,11.161770,175,0,0,true,0.059940,false,true,false,0,0.037770,0,false,0,8,true,0,62976,false,0.069280,0.058620,0,3.859499,3.134311,0,984,1.642437,worst_decile_mean_degrees,0,156,0,16.218674,14.645942,0,0.067868,15.000000,656,328,0
torus,25,118,96,5.371983,6.820863,293,0,0,true,0.123461,false,true,false,0,0.091271,0,false,0,8,true,0,104448,false,0.144731,0.112391,0,1.116390,1.036487,0,1632,1.448880,worst_decile_mean_degrees,0,256,0,16.427574,12.726483,16,0.022021,15.000000,1088,544,0
torus,33,398,360,4.030853,4.772495,592,0,0,true,0.264942,false,true,false,0,0.214802,0,false,0,8,true,0,216576,false,0.269412,0.258562,0,1.067546,1.011371,0,3384,0.741642,worst_decile_mean_degrees,0,512,0,9.376718,7.279492,64,0.025367,15.000000,2256,1128,0
box_exact,17,0,0,35.264390,35.264390,0,0,0,true,0.027700,false,true,false,0,0.030650,0,false,0,8,false,0,56064,false,0.027800,0.027660,0,35.264390,35.264390,0,876,0.000000,worst_decile_mean_degrees,0,0,0,35.264390,35.264390,0,1.000000,15.000000,584,294,0
box_exact,25,0,0,35.264390,35.264390,0,0,0,true,0.069611,false,true,false,0,0.088460,0,false,0,8,false,0,139008,false,0.075611,0.069080,0,35.264390,35.264390,0,2172,0.000000,worst_decile_mean_degrees,0,0,0,35.264390,35.264390,0,1.000000,15.000000,1448,726,0
box_exact,33,0,0,35.264390,35.264390,0,0,0,true,0.127461,false,true,false,0,0.211522,0,false,0,8,false,0,258816,false,0.127591,0.127311,0,35.264390,35.264390,0,4044,0.000000,worst_decile_mean_degrees,0,0,0,35.264390,35.264390,0,1.000000,15.000000,2696,1350,0
csg_difference,17,8,6,25.571386,25.517796,23,0,0,true,0.031681,false,true,false,0,0.030990,0,false,0,8,true,0,56064,false,0.036970,0.031530,0,11.130121,11.127419,0,876,-0.053590,worst_decile_mean_degrees,0,21,0,35.264390,35.264390,0,0.315784,15.000000,584,294,0
