# experiment P-178 (R-183)
# hypothesis: Taylor's Gaussian kinematic formula (10.1214/009117905000000594, in the corpus and converted) gives, for a real-valued zero-mean unit-variance Gaussian field, E[chi(M intersect f^-1[u, inf))] = sum over j of L_j(M) * rho_j(u) with rho_j(u) = (2*pi)^(-(j+1)/2) * integral from u to infinity of H_j(x) * exp(-x^2/2) dx, H_j the jth Hermite polynomial, and L_j taken in the metric the field induces -- so for an isotropic field on a box the Lipschitz-Killing curvatures are the box's Euclidean ones scaled by lambda^(j/2), lambda being mu_2, the variance of a first-order partial derivative. That is an ANALYTIC EXPECTATION FOR chi OF AN EXCURSION SET, which is exactly the oracle M-458 did not have: it reports noise_cavity's chi as 82 at 33^3 and -152 at 65^3 and calls both ground truth, and CLAUDE.md's validity gate records chi rather than asserting it on every field whose expected_euler() is None. The four rho_j are DERIVED IN THE HARNESS from the Hermite integrals and checked against the j = 0 case (the Gaussian tail), not transcribed. (C1) On an exactly-Gaussian fixture -- random-phase Fourier synthesis with i.i.d. normal coefficients, whose lambda is a closed-form sum over the mode set -- the mesh-free digital-topology chi of M-458's oracle, averaged over at least 32 independent realisations, agrees with the prediction within two standard errors on at least 4 of 5 isovalue rungs. (C2) The shipped noise fields obey the same formula with lambda estimated from their own sampled derivatives: noise_cavity and fbm_terrain at the finest rung land inside the two-sigma band. (C3) chi of a FIXED realisation has converged by the finest rung: between the two finest rungs the relative change is at most 0.10 on noise_cavity. SHARE: none -- this is an oracle for the validity gate, not a stage of extraction.
# falsified by: C1 by the fixture missing its own prediction, which means the harness's Hermite derivation or the induced-metric scaling is wrong and nothing else in the row may be read. C2 by a band miss, which is the interesting direction: it would say the crate's hash-based lattice noise is far enough from Gaussian that the formula cannot grade it, and the entry must carry relative_departure as the number saying how far -- P-176's C2 already found fbm_terrain's 2D slices percolating where the Gaussian theorem says they should not, so this is a real risk and is registered as one. A band HIT is equally informative and is the whole point: it would hand the validity gate an analytic expected chi for two of the four fields M-459 found ungradeable. C3 by a relative change above 0.10, which would re-tier M-458: its noise_cavity numbers 82 and -152 would be two samplings of an unconverged quantity rather than two ground truths, and the 234 between them would be the evidence. VACUITY CONTROL: the band must be able to reject something. The same run predicts with a deliberately wrong spectral moment, 4*lambda, and records band_rejects_wrong_lambda; if the wrong prediction also lands inside the band the comparison cannot discriminate and the row is vacuous whatever the clauses say. M-458's calibration is re-taken in the same run -- chi 2 on sphere and 0 on torus from the same oracle -- or the oracle itself is not the one that entry measured.
# commit c10615e (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-09-12T13:49:05Z
arm,field,resolution,isovalue,realisations,lambda_spectral,lambda_source,chi_digital_mean,chi_digital_sem,chi_gkf_predicted,gkf_within_band,relative_departure,band_rejects_wrong_lambda,chi_fixed_realisation,chi_convergence_gap,rungs_within_band,calibration_chi_sphere,calibration_chi_torus,c1_holds,c2_holds,c3_holds
gaussian_periodic,fourier_shell_ksq14,65,-2.000000000,32,120.646044199,closed_form,13.687500000,0.492765198,13.628315659,true,0.004342748,true,na,na,5of5,2,0,true,false,false
wrong_lambda,fourier_shell_ksq14,65,-2.000000000,32,482.584176796,closed_form_x4,13.687500000,0.492765198,109.026525269,false,0.874457156,true,na,na,5of5,2,0,true,false,false
gaussian_periodic,fourier_shell_ksq14,65,-1.000000000,32,120.646044199,closed_form,0.406250000,0.764456605,0.000000000,true,0.406250000,false,na,na,5of5,2,0,true,false,false
wrong_lambda,fourier_shell_ksq14,65,-1.000000000,32,482.584176796,closed_form_x4,0.406250000,0.764456605,0.000000000,true,0.406250000,false,na,na,5of5,2,0,true,false,false
gaussian_periodic,fourier_shell_ksq14,65,0.000000000,32,120.646044199,closed_form,-33.906250000,0.554234751,-33.566796312,true,0.010112782,true,na,na,5of5,2,0,true,false,false
wrong_lambda,fourier_shell_ksq14,65,0.000000000,32,482.584176796,closed_form_x4,-33.906250000,0.554234751,-268.534370494,false,0.873735902,true,na,na,5of5,2,0,true,false,false
gaussian_periodic,fourier_shell_ksq14,65,1.000000000,32,120.646044199,closed_form,0.031250000,0.656057960,0.000000000,true,0.031250000,false,na,na,5of5,2,0,true,false,false
wrong_lambda,fourier_shell_ksq14,65,1.000000000,32,482.584176796,closed_form_x4,0.031250000,0.656057960,0.000000000,true,0.031250000,false,na,na,5of5,2,0,true,false,false
gaussian_periodic,fourier_shell_ksq14,65,2.000000000,32,120.646044199,closed_form,13.562500000,0.403955992,13.628315659,true,0.004829332,true,na,na,5of5,2,0,true,false,false
wrong_lambda,fourier_shell_ksq14,65,2.000000000,32,482.584176796,closed_form_x4,13.562500000,0.403955992,109.026525269,false,0.875603666,true,na,na,5of5,2,0,true,false,false
matched_gaussian,noise_cavity_matched_ksq6,65,0.000000000,32,3.516046568,closed_form_matched,-7.375000000,0.563954213,-6.606939848,true,0.116250514,na,na,na,5of5,2,0,true,false,false
shipped,noise_cavity,65,0.000000000,1,3.514897286,central_difference,15.000000000,3.190206789,-6.602285203,false,3.271940629,na,15.000000000,na,5of5,2,0,true,false,false
matched_gaussian,fbm_terrain_matched_ksq1,65,0.000000000,32,0.051404190,closed_form_matched,1.031250000,0.208123214,1.022851231,true,0.008211134,na,na,na,5of5,2,0,true,false,false
shipped,fbm_terrain,65,0.000000000,1,0.025259313,central_difference,1.000000000,1.177322687,1.297632628,true,0.229365864,na,1.000000000,na,5of5,2,0,true,false,false
convergence,noise_cavity,33,0.000000000,1,2.178165671,central_difference,-2.000000000,0.000000000,-1.892739437,false,0.056669482,na,-2.000000000,na,5of5,2,0,true,false,false
convergence,noise_cavity_raw_iso0,33,0.000000000,1,2.178165671,central_difference,82.000000000,0.000000000,NaN,false,NaN,na,82,na,5of5,2,0,true,false,false
