# experiment P-135 (R-135)
# hypothesis: Every claim in Group A rests on the reconstruction being multi-affine. That is a hypothesis about the filter, not a fact about the crate, and it must be recorded as a boundary before anything downstream leans on it. (C1) The identity holds for the trilinear and fails for any reconstruction that is not multi-affine -- demonstrated symbolically for a tricubic and for smooth_min(k) with k > 0, with the residual reported rather than merely asserted non-zero. (C2) Under smooth_min(k), the deviation from the multi-affine Delta grows with k and is bounded in the O(k) seam shell the 2026-08-23 memo measured -- connecting Group A's boundary to M-38's smoothing result rather than leaving it a separate fact. SHARE: none -- this is a scope statement and moves nothing.
# falsified by: C1 by the identity surviving a non-multi-affine reconstruction, which would be a strictly better result and would widen Group A. C2 by deviation that does not track k, which would mean the smoothing and the invariant are unrelated and M-38 gains nothing here. VACUITY CONTROL: the tricubic arm must produce a symbolic residual with named non-zero terms, not a numeric non-zero, or C1 has not established the failure structurally.
# commit 88955ec on amd-ryzen-9-5900x-12-core at 2026-08-30T14:31:59Z
reconstruction,is_multi_affine,identity_holds,symbolic_residual_terms,smooth_min_k,deviation_at_k,tricubic_degree,cases_touched,c1_holds,c2_holds,arm_role,centre_residual_value,degree_x,degree_y,degree_z,delta_at_k,delta_base,delta_from_corners,deviation_grows,deviation_monotone,interpolant_terms,k_values,residual_named_terms,seed
trilinear,true,true,0,0,0,1,256,true,true,control,,1,1,1,,,,,,8,,none,0x1350135
tricubic,false,false,56,0,0,3,2^64,true,true,counterexample,0,3,3,3,,,-3.990000e2,,,58,,-3x^2y^3z^3|3x^3y^2z^3|x^3y^3z^2|2xy^3z^3|-3x^2y^2z^3|-x^2y^3z^2,0x1350135
smooth_min,true,true,n/a-numeric-arm,0,0.000000000e0,1,256,true,true,control,0,1,1,1,2.500000000e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min,false,false,n/a-numeric-arm,0.001,9.995625000e-4,1,256,true,true,sweep,0,1,1,1,2.497501094e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min,false,false,n/a-numeric-arm,0.01,9.956250000e-3,1,256,true,true,sweep,0,1,1,1,2.475109375e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min,false,false,n/a-numeric-arm,0.05,4.890625000e-2,1,256,true,true,sweep,0,1,1,1,2.377734375e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min,false,false,n/a-numeric-arm,0.1,9.562500000e-2,1,256,true,true,sweep,0,1,1,1,2.260937500e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min,false,false,n/a-numeric-arm,0.25,2.226562500e-1,1,256,true,true,sweep,0,1,1,1,1.943359375e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min,false,false,n/a-numeric-arm,0.5,3.906250000e-1,1,256,true,true,sweep,0,1,1,1,1.523437500e-1,2.500000000e-1,,,,8,,none,0x1350135
smooth_min-summary,false,false,n/a-numeric-arm,sweep,9.996e-4|9.956e-3|4.891e-2|9.563e-2|2.227e-1|3.906e-1,1,256,true,true,summary,0,1,1,1,,,,true,true,8,0|0.001|0.01|0.05|0.1|0.25|0.5,none,0x1350135
