# experiment P-171 (R-171)
# hypothesis: Every PL-correctness theorem -- AS85's, Plantinga-Vegter's, Boissonnat-Wintraecken's -- needs the isovalue to be a regular value and the surface to meet each simplex transversally. This crate has never measured how often that fails, which means it has never known which of its cells are inside the theory and which are outside it. (C1) The non-transverse fraction is measured per field per resolution and is non-zero on at least two fields. (C2) The non-transverse cells overlap the ambiguous cells substantially -- rank correlation or set overlap reported -- which would say the ambiguity problem and the transversality failure are the same problem seen twice. (C3) They also overlap T-001's defect cells, or they do not, and which is stated. SHARE: none -- this partitions the cells into in-theory and out-of-theory, which nothing currently does.
# falsified by: C1 by zero non-transverse cells everywhere, which would mean every theorem applies everywhere and is a strong and welcome result. C2 by no overlap, which would mean they are genuinely different populations and both need handling. C3 by no overlap with defects, which would say transversality failure is harmless in practice. VACUITY CONTROL: box_exact, whose faces have exactly-equal samples, must be included, or the field most likely to violate transversality has been excluded from the census.
# commit 7220f51 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:42Z
field,resolution,cells,non_transverse_cells,non_transverse_fraction,gradient_norm_min,regular_value_violations,overlap_with_ambiguous,overlap_with_defects,c1_holds,c2_holds,c3_holds,active_cells,ambiguous_cells,ambiguous_lift,c1_fields_nonzero,c2_reachable,c3_reachable,cut_grid_edges,defect_cells,defect_cells_dilated,degenerate_triangles,edges_at_half_offset,exact_zero_samples,gradient_floor,gradient_margin,inconsistent_edges,max_abs_edge_offset,mesh_vertices,near_degenerate_triangles,non_manifold_edges,non_manifold_vertices,non_transverse_and_ambiguous,non_transverse_and_defect,non_transverse_gradient_cells,overlap_with_defects_dilated,self_intersecting_pairs,triangles,wall_ms
sphere,17,4096,48,0.011718750,1.000000e0,48,0.000000000,0.000000000,true,false,false,272,0,0.000000,6,false,false,270,0,0,0,6,6,1.000000e-6,1.000000e6,0,0.500000000,270,0,0,0,0,0,0,0.000000000,0,536,1.092
sphere,33,32768,48,0.001464844,1.000000e0,48,0.000000000,0.000000000,true,false,false,1160,0,0.000000,6,false,false,1158,0,0,0,6,6,1.000000e-6,1.000000e6,0,0.500000000,1158,0,0,0,0,0,0,0.000000000,0,2312,5.153
sphere,65,262144,48,0.000183105,1.000000e0,48,0.000000000,0.000000000,true,false,false,4760,0,0.000000,6,false,false,4758,0,0,0,6,6,1.000000e-6,1.000000e6,0,0.500000000,4758,0,0,0,0,0,0,0.000000000,0,9512,24.693
torus,17,4096,0,0.000000000,1.000000e0,0,0.000000000,0.000000000,true,false,false,328,0,0.000000,6,false,false,328,0,0,0,0,0,1.000000e-6,1.000000e6,0,0.452010322,328,0,0,0,0,0,0,0.000000000,0,656,1.263
torus,33,32768,0,0.000000000,1.000000e0,0,0.000000000,0.000000000,true,false,false,1128,0,0.000000,6,false,false,1128,0,0,0,0,0,1.000000e-6,1.000000e6,0,0.485094524,1128,0,0,0,0,0,0,0.000000000,0,2256,4.878
torus,65,262144,0,0.000000000,1.000000e0,0,0.000000000,0.000000000,true,false,false,4208,0,0.000000,6,false,false,4208,0,0,0,0,0,1.000000e-6,1.000000e6,0,0.496493621,4208,0,0,0,0,0,0,0.000000000,0,8416,23.016
box_exact,17,4096,784,0.191406250,1.000000e0,784,0.000000000,0.000000000,true,false,false,296,0,0.000000,6,false,false,294,0,0,0,294,386,1.000000e-6,1.000000e6,0,0.500000000,294,0,0,0,0,0,0,0.000000000,0,584,0.864
box_exact,33,32768,3088,0.094238281,1.000000e0,3088,0.000000000,0.000000000,true,false,false,1352,0,0.000000,6,false,false,1350,0,0,0,1350,1538,1.000000e-6,1.000000e6,0,0.500000000,1350,0,0,0,0,0,0,0.000000000,0,2696,4.255
box_exact,65,262144,12304,0.046936035,1.000000e0,12304,0.000000000,0.000000000,true,false,false,5768,0,0.000000,6,false,false,5766,0,0,0,5766,6146,1.000000e-6,1.000000e6,0,0.500000000,5766,0,0,0,0,0,0,0.000000000,0,11528,24.188
csg_difference,17,4096,716,0.174804688,1.000000e0,716,0.000000000,0.000000000,true,false,false,296,0,0.000000,6,false,false,294,0,0,0,249,337,1.000000e-6,1.000000e6,0,0.500000000,294,0,0,0,0,0,0,0.000000000,0,584,0.941
csg_difference,33,32768,2774,0.084655762,1.000000e0,2774,0.000000000,0.000000000,true,false,false,1388,0,0.000000,6,false,false,1386,0,0,0,1167,1354,1.000000e-6,1.000000e6,0,0.500000000,1386,0,0,0,0,0,0,0.000000000,0,2768,4.728
csg_difference,65,262144,10964,0.041824341,1.000000e0,10964,0.000000000,0.000000000,true,false,false,6014,0,0.000000,6,false,false,6012,0,0,0,5031,5422,1.000000e-6,1.000000e6,0,0.500000000,6012,0,0,0,0,0,0,0.000000000,0,12020,26.094
thin_plate,17,4096,128,0.031250000,1.000000e0,128,0.000000000,0.000000000,true,false,false,128,0,0.000000,6,false,false,126,0,0,0,28,32,1.000000e-6,1.000000e6,0,0.500000000,126,0,0,0,0,0,0,0.000000000,0,248,0.448
thin_plate,33,32768,256,0.007812500,1.000000e0,256,0.000000000,0.000000000,true,false,false,512,0,0.000000,6,false,false,510,0,0,0,60,64,1.000000e-6,1.000000e6,0,0.500000000,510,0,0,0,0,0,0,0.000000000,0,1016,2.075
thin_plate,65,262144,512,0.001953125,1.000000e0,512,0.000000000,0.000000000,true,false,false,2048,0,0.000000,6,false,false,2046,0,0,0,124,128,1.000000e-6,1.000000e6,0,0.500000000,2046,0,0,0,0,0,0,0.000000000,0,4088,12.949
gyroid,17,4096,8,0.001953125,1.000000e0,8,0.000000000,0.750000000,true,false,true,1214,52,0.000000,6,true,true,1260,4,20,4,3,1,1.000000e-6,1.000000e6,0,0.500000000,1260,4,0,0,0,3,0,0.400000000,0,2536,5.021
gyroid,33,32768,8,0.000244141,1.000000e0,8,0.000000000,0.750000000,true,false,true,5240,27,0.000000,6,true,true,5292,4,20,4,3,1,1.000000e-6,1.000000e6,0,0.500000000,5292,16,0,0,0,3,0,0.400000000,0,10632,22.661
gyroid,65,262144,8,0.000030518,1.000000e0,8,0.000000000,0.750000000,true,false,true,21432,132,0.000000,6,true,true,21534,4,20,4,3,1,1.000000e-6,1.000000e6,0,0.500000000,21534,10,0,0,0,3,0,0.400000000,0,43116,106.175
fbm_terrain,17,4096,0,0.000000000,1.000394e0,0,0.000000000,0.000000000,true,false,false,470,16,0.000000,6,false,false,525,0,0,0,0,0,1.000000e-6,1.000394e6,0,0.497738866,525,0,0,0,0,0,0,0.000000000,0,956,3.674
fbm_terrain,33,32768,0,0.000000000,1.000078e0,0,0.000000000,0.000000000,true,false,false,1958,30,0.000000,6,false,false,2069,0,0,0,0,0,1.000000e-6,1.000078e6,0,0.499935874,2069,3,0,0,0,0,0,0.000000000,0,3946,21.309
