# experiment P-142 (R-142)
# hypothesis: CLAUDE.md records that chi cannot be asserted on gyroid, which has left that field with no topological gate. It is assertable, and the reason the project could not see it is that the extraction box is not periodic-conforming. Triply periodic minimal surfaces have genus 3 per primitive translational cell; the gyroid's primitive lattice is body-centred cubic, so the conventional cubic cell holds two primitive cells and chi = -8, not -4. Verified numerically on the nodal surfaces at 32, 64, 96 and 128 voxels per period: Schwarz P -4, gyroid -8, Schwarz D -16 per conventional cubic cell, stable across resolution. (C1) Extracting the gyroid over an integer number of periods with periodic wrap gives chi = -8N^3 exactly, for N in {1, 2, 3}, on every extractor in the crate that produces a closed surface. (C2) The measured genus is 1 + 4N^3, consistent with C1 through chi = 2 - 2g. (C3) The oracle is added to the validity suite as a gate for gyroid, closing a hole the ledger currently records as permanent. SHARE: none -- this is a correctness gate where there was none.
# falsified by: C1 by any N disagreeing, which would mean the extraction is not periodic-conforming and the wrap is where the defect is -- itself a finding, since chunk seams are the recurring defect class. C2 by an inconsistent genus, which would mean the surface is not closed and orientable and C1's arithmetic does not apply. C3 by the gate being unimplementable within the existing suite. VACUITY CONTROL: the non-wrapped arm must be run and must fail the -8N^3 prediction, or the experiment has not shown that periodicity is what matters.
# commit 845c7a8 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:26:52Z
field,periods_per_axis,resolution,wrap_mode,chi_predicted,chi_measured,chi_agreement,genus_measured,boundary_edges,nonmanifold_edges,cells,c1_holds,c2_holds,c3_holds,arm,body_centring_ok,body_centring_residual,c1_scope,cell_size,chi_from_genus,chi_gap,chi_per_cubic_cell,components,edges,extractor,faces,genus_agreement,genus_predicted,is_closed,is_control,is_manifold,mesh_triangles,mesh_vertices,primitive_cells_per_cubic_cell,primitive_lattice,seam_pairs_identified,space_group,validate_boundary_edges,validate_chi,validate_nonmanifold_edges,vertices,voxels_per_period,weld_tolerance
gyroid,1,34,open,-8,-3,false,2,594,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,16173,marching_cubes,10584,false,5,false,true,true,10587,5589,2,bcc,0,Ia-3d,597,-3,0,5586,33,1.904e-5
gyroid,1,34,periodic,-8,-8,true,5,0,0,35937,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-8,0,-8,1,15876,marching_cubes,10584,true,5,true,false,true,10584,5284,2,bcc,305,Ia-3d,0,-8,0,5284,33,1.904e-5
gyroid,1,34,open,-8,-3,false,2,594,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,16173,marching_cubes+decider,10584,false,5,false,true,true,10587,5589,2,bcc,0,Ia-3d,597,-3,0,5586,33,1.904e-5
gyroid,1,34,periodic,-8,-8,true,5,0,0,35937,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-8,0,-8,1,15876,marching_cubes+decider,10584,true,5,true,false,true,10584,5284,2,bcc,305,Ia-3d,0,-8,0,5284,33,1.904e-5
gyroid,1,34,open,-8,-3,false,2,984,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,45726,marching_tetrahedra,30156,false,5,false,true,true,30162,15573,2,bcc,0,Ia-3d,990,-3,0,15567,33,1.904e-5
gyroid,1,34,periodic,-8,-8,true,5,0,0,35937,true,true,false,period_sweep,true,1.887e-15,in_scope,0.190399555,-8,0,-8,1,45234,marching_tetrahedra,30156,true,5,true,false,true,30156,15070,2,bcc,503,Ia-3d,0,-8,0,15070,33,1.904e-5
gyroid,1,34,open,-8,-3,false,2,564,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,15258,surface_nets,9984,false,5,false,true,true,9984,5277,2,bcc,0,Ia-3d,564,-3,0,5271,33,1.904e-5
gyroid,1,34,periodic,-8,-3,false,2,564,0,35937,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-2,5,-8,1,15258,surface_nets,9984,false,5,false,false,true,9984,5277,2,bcc,0,Ia-3d,564,-3,0,5271,33,1.904e-5
gyroid,1,34,open,-8,-3,false,2,564,0,35937,true,true,false,period_sweep,true,1.887e-15,control_open_arm,0.190399555,-2,5,-8,1,15258,dual_contouring,9984,false,5,false,true,true,9984,5277,2,bcc,0,Ia-3d,564,-3,0,5271,33,1.904e-5
gyroid,1,34,periodic,-8,-3,false,2,564,0,35937,true,true,false,period_sweep,true,1.887e-15,excluded_not_closed,0.190399555,-2,5,-8,1,15258,dual_contouring,9984,false,5,false,false,true,9984,5277,2,bcc,0,Ia-3d,564,-3,0,5271,33,1.904e-5
