# experiment P-128 (R-128)
# hypothesis: Delta(g.A) = (det g1 det g2 det g3)^2.Delta(A) -- the weight is a perfect square, so sign(Delta) is an absolute invariant of the GL(2)^3 action, and the body-saddle count is a property of the eight values alone. (C1) On all eight reference fields at 33^3 and 65^3, meshing with per-axis cell scales of (1,1,1), (1,2,4) and (1,1,8) produces bit-identical body-saddle counts per cell, with zero disagreements. (C2) The relative-invariant weight holds numerically: for 500 random invertible g triples, Delta(g.A)/Delta(A) equals (det g1 det g2 det g3)^2 to f64 rounding. SHARE: C1 is a correctness clause and moves no cost; it removes an untested assumption from every anisotropic-cell path, including all of Group D.
# falsified by: C1 by any disagreement, which would mean the extractor's saddle path depends on geometry the invariant says it cannot -- i.e. a bug, and a valuable one. C2 by a weight that is not a square, which would mean the indexing or the action is wrong and P-127 C1 must be re-read. VACUITY CONTROL: the anisotropic arms must produce a non-zero count of cells whose vertex positions move, reported as a column, or the fixture is not exercising anisotropy at all.
# commit ca5c3bd on amd-ryzen-9-5900x-12-core at 2026-08-30T14:08:27Z
field,resolution,cell_aspect_ratio,axis_scales,saddle_count_isotropic,saddle_count_anisotropic,count_disagreements,sign_delta_isotropic,sign_delta_anisotropic,sign_disagreements,gl2_weight_check,c1_holds,c2_holds,cells,cells_with_saddles,corner_value_mismatches,delta_zero_cells,gl2_exact_matches,gl2_f64_max_deviation,gl2_max_abs_weight,gl2_negative_base_trials,gl2_nontrivial_weight_trials,gl2_positive_base_trials,gl2_sign_invariant_cells,gl2_sign_variant_cells,gl2_singular_draws,gl2_trials,gl2_variant_max_rel_delta,gl2_zero_base_trials,gl2_zero_delta_perturbed_cells,is_control,seed,surface_cells,vertex_count_anisotropic,vertex_count_isotropic,vertex_positions_moved,wall_ns
sphere,33,1.000000,1x1x1,312,312,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,168,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,1160,1158,1158,0,1583274538
sphere,33,4.000000,1x2x4,312,312,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,168,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,1160,310,1158,308,1583274538
sphere,33,8.000000,1x1x8,312,312,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,168,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,1160,446,1158,386,1583274538
sphere,65,1.000000,1x1x1,1248,1248,0,0|0|262144,0|0|262144,0,exact_500of500|f64max_0.000e0,true,true,262144,656,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,4760,4758,4758,0,1583274538
sphere,65,4.000000,1x2x4,1248,1248,0,0|0|262144,0|0|262144,0,exact_500of500|f64max_0.000e0,true,true,262144,656,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,4760,1342,4758,1340,1583274538
sphere,65,8.000000,1x1x8,1248,1248,0,0|0|262144,0|0|262144,0,exact_500of500|f64max_0.000e0,true,true,262144,656,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,4760,1926,4758,1802,1583274538
torus,33,1.000000,1x1x1,3968,3968,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,3168,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,1128,1128,1128,0,1583274538
torus,33,4.000000,1x2x4,3968,3968,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,3168,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,1128,344,1128,340,1583274538
torus,33,8.000000,1x1x8,3968,3968,0,0|0|32768,0|0|32768,0,exact_500of500|f64max_0.000e0,true,true,32768,3168,0,0,500,0.000e0,77440000,120,500,378,32768,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,1128,400,1128,360,1583274538
torus,65,1.000000,1x1x1,15816,15816,0,208|0|261936,208|0|261936,0,exact_500of500|f64max_0.000e0,true,true,262144,13024,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,true,0x0128a15ca1e50f87,4208,4208,4208,0,1583274538
torus,65,4.000000,1x2x4,15816,15816,0,208|0|261936,208|0|261936,0,exact_500of500|f64max_0.000e0,true,true,262144,13024,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,4208,1296,4208,1292,1583274538
torus,65,8.000000,1x1x8,15816,15816,0,208|0|261936,208|0|261936,0,exact_500of500|f64max_0.000e0,true,true,262144,13024,0,0,500,0.000e0,77440000,120,500,378,262144,0,144,500,0.000e0,2,0,false,0x0128a15ca1e50f87,4208,1520,4208,1448,1583274538
box_exact,33,1.000000,1x1x1,0,0,0,0|28616|4152,0|28616|4152,0,exact_500of500|f64max_0.000e0,true,true,32768,0,0,28616,500,0.000e0,77440000,120,500,378,4152,0,144,500,0.000e0,2,5440,true,0x0128a15ca1e50f87,1352,1350,1350,0,1583274538
box_exact,33,4.000000,1x2x4,0,0,0,0|28616|4152,0|28616|4152,0,exact_500of500|f64max_0.000e0,true,true,32768,0,0,28616,500,0.000e0,77440000,120,500,378,4152,0,144,500,0.000e0,2,5440,false,0x0128a15ca1e50f87,1352,342,1350,300,1583274538
box_exact,33,8.000000,1x1x8,0,0,0,0|28616|4152,0|28616|4152,0,exact_500of500|f64max_0.000e0,true,true,32768,0,0,28616,500,0.000e0,77440000,120,500,378,4152,0,144,500,0.000e0,2,5440,false,0x0128a15ca1e50f87,1352,510,1350,450,1583274538
box_exact,65,1.000000,1x1x1,0,0,0,0|229256|32888,0|229256|32888,0,exact_500of500|f64max_0.000e0,true,true,262144,0,0,229256,500,0.000e0,77440000,120,500,378,32888,0,144,500,0.000e0,2,44352,true,0x0128a15ca1e50f87,5768,5766,5766,0,1583274538
box_exact,65,4.000000,1x2x4,0,0,0,0|229256|32888,0|229256|32888,0,exact_500of500|f64max_0.000e0,true,true,262144,0,0,229256,500,0.000e0,77440000,120,500,378,32888,0,144,500,0.000e0,2,44352,false,0x0128a15ca1e50f87,5768,1574,5766,1364,1583274538
box_exact,65,8.000000,1x1x8,0,0,0,0|229256|32888,0|229256|32888,0,exact_500of500|f64max_0.000e0,true,true,262144,0,0,229256,500,0.000e0,77440000,120,500,378,32888,0,144,500,0.000e0,2,44352,false,0x0128a15ca1e50f87,5768,2294,5766,1922,1583274538
csg_difference,33,1.000000,1x1x1,562,562,0,114|26834|5820,114|26834|5820,0,exact_500of500|f64max_0.000e0,true,true,32768,360,0,26834,500,0.000e0,77440000,120,500,378,5932,2,144,500,1.316e-16,2,5433,true,0x0128a15ca1e50f87,1388,1386,1386,0,1583274538
csg_difference,33,4.000000,1x2x4,562,562,0,114|26834|5820,114|26834|5820,0,exact_500of500|f64max_0.000e0,true,true,32768,360,0,26834,500,0.000e0,77440000,120,500,378,5932,2,144,500,1.316e-16,2,5433,false,0x0128a15ca1e50f87,1388,342,1386,307,1583274538
csg_difference,33,8.000000,1x1x8,562,562,0,114|26834|5820,114|26834|5820,0,exact_500of500|f64max_0.000e0,true,true,32768,360,0,26834,500,0.000e0,77440000,120,500,378,5932,2,144,500,1.316e-16,2,5433,false,0x0128a15ca1e50f87,1388,440,1386,380,1583274538
csg_difference,65,1.000000,1x1x1,2188,2188,0,371|216678|45095,371|216678|45095,0,exact_500of500|f64max_0.000e0,true,true,262144,1400,0,216678,500,0.000e0,77440000,120,500,378,45456,10,144,500,3.424e-16,2,44300,true,0x0128a15ca1e50f87,6014,6012,6012,0,1583274538
csg_difference,65,4.000000,1x2x4,2188,2188,0,371|216678|45095,371|216678|45095,0,exact_500of500|f64max_0.000e0,true,true,262144,1400,0,216678,500,0.000e0,77440000,120,500,378,45456,10,144,500,3.424e-16,2,44300,false,0x0128a15ca1e50f87,6014,1596,6012,1414,1583274538
csg_difference,65,8.000000,1x1x8,2188,2188,0,371|216678|45095,371|216678|45095,0,exact_500of500|f64max_0.000e0,true,true,262144,1400,0,216678,500,0.000e0,77440000,120,500,378,45456,10,144,500,3.424e-16,2,44300,false,0x0128a15ca1e50f87,6014,2314,6012,1968,1583274538
thin_plate,33,1.000000,1x1x1,0,0,0,0|24568|8200,0|24568|8200,0,exact_500of500|f64max_0.000e0,true,true,32768,0,0,24568,500,0.000e0,77440000,120,500,378,8200,0,144,500,0.000e0,2,4864,true,0x0128a15ca1e50f87,512,510,510,0,1583274538
thin_plate,33,4.000000,1x2x4,0,0,0,0|24568|8200,0|24568|8200,0,exact_500of500|f64max_0.000e0,true,true,32768,0,0,24568,500,0.000e0,77440000,120,500,378,8200,0,144,500,0.000e0,2,4864,false,0x0128a15ca1e50f87,512,126,510,120,1583274538
thin_plate,33,8.000000,1x1x8,0,0,0,0|24568|8200,0|24568|8200,0,exact_500of500|f64max_0.000e0,true,true,32768,0,0,24568,500,0.000e0,77440000,120,500,378,8200,0,144,500,0.000e0,2,4864,false,0x0128a15ca1e50f87,512,62,510,30,1583274538
thin_plate,65,1.000000,1x1x1,0,0,0,0|196600|65544,0|196600|65544,0,exact_500of500|f64max_0.000e0,true,true,262144,0,0,196600,500,0.000e0,77440000,120,500,378,65544,0,144,500,0.000e0,2,39484,true,0x0128a15ca1e50f87,2048,2046,2046,0,1583274538
thin_plate,65,4.000000,1x2x4,0,0,0,0|196600|65544,0|196600|65544,0,exact_500of500|f64max_0.000e0,true,true,262144,0,0,196600,500,0.000e0,77440000,120,500,378,65544,0,144,500,0.000e0,2,39484,false,0x0128a15ca1e50f87,2048,510,2046,496,1583274538
